Iteration,Time (s)
1,0.159
2,0.153
3,0.148
4,0.154
5,0.152
6,0.153
7,0.147
8,0.153
9,0.157
10,0.158
11,0.15
12,0.154
13,0.146
14,0.151
15,0.153
16,0.153
17,0.148
18,0.151
19,0.153
20,0.157
21,0.156
22,0.153
23,0.153
24,0.155
25,0.176
26,0.155
27,0.153
28,0.153
29,0.153
30,0.15
31,0.153
32,0.151
33,0.154
34,0.154
35,0.154
36,0.155
37,0.152
38,0.151
39,0.152
40,0.15
41,0.156
42,0.156
43,0.154
44,0.163
45,0.153
46,0.151
47,0.149
48,0.155
49,0.146
50,0.155
51,0.15
52,0.166
53,0.153
54,0.153
55,0.154
56,0.155
57,0.152
58,0.155
59,0.152
60,0.155
61,0.15
62,0.149
63,0.16
64,0.153
65,0.154
66,0.154
67,0.153
68,0.152
69,0.154
70,0.151
71,0.155
72,0.159
73,0.149
74,0.154
75,0.149
76,0.143
77,0.15
78,0.156
79,0.153
80,0.153
81,0.152
82,0.155
83,0.153
84,0.153
85,0.155
86,0.15
87,0.148
88,0.151
89,0.152
90,0.15
91,0.152
92,0.15
93,0.152
94,0.175
95,0.153
96,0.158
97,0.155
98,0.149
99,0.155
100,0.151
101,0.15
102,0.153
103,0.155
104,0.152
105,0.155
106,0.151
107,0.149
108,0.153
109,0.151
110,0.153
111,0.151
112,0.15
113,0.157
114,0.155
115,0.149
116,0.153
117,0.148
118,0.158
119,0.151
120,0.153
121,0.153
122,0.153
123,0.15
124,0.153
125,0.154
126,0.156
127,0.179
128,0.157
129,0.154
130,0.15
131,0.152
132,0.158
133,0.153
134,0.155
135,0.153
136,0.152
137,0.15
138,0.154
139,0.155
140,0.152
141,0.152
142,0.154
143,0.154
144,0.153
145,0.154
146,0.149
147,0.146
148,0.16
149,0.155
150,0.151
151,0.154
152,0.151
153,0.153
154,0.15
155,0.153
156,0.149
157,0.154
158,0.152
159,0.157
160,0.153
161,0.15
162,0.15
163,0.18
164,0.154
165,0.158
166,0.158
167,0.154
168,0.152
169,0.155
170,0.153
171,0.152
172,0.15
173,0.154
174,0.15
175,0.148
176,0.151
177,0.148
178,0.15
179,0.152
180,0.153
181,0.149
182,0.152
183,0.146
184,0.152
185,0.153
186,0.152
187,0.151
188,0.149
189,0.15
190,0.151
191,0.164
192,0.148
193,0.154
194,0.155
195,0.152
196,0.156
197,0.154
198,0.148
199,0.154
200,0.157
201,0.153
202,0.152
203,0.149
204,0.146
205,0.155
206,0.151
207,0.153
208,0.153
209,0.171
210,0.148
211,0.154
212,0.148
213,0.152
214,0.146
215,0.156
216,0.15
217,0.152
218,0.153
219,0.169
220,0.152
221,0.153
222,0.154
223,0.152
224,0.149
225,0.155
226,0.151
227,0.157
228,0.152
229,0.157
230,0.153
231,0.16
232,0.167
233,0.162
234,0.169
235,0.151
236,0.153
237,0.152
238,0.149
239,0.146
240,0.152
241,0.151
242,0.154
243,0.151
244,0.152
245,0.151
246,0.153
247,0.153
248,0.152
249,0.152
250,0.151
251,0.15
252,0.155
253,0.153
254,0.148
255,0.153
256,0.156
257,0.152
258,0.155
259,0.149
260,0.153
261,0.151
262,0.156
263,0.148
264,0.163
265,0.151
266,0.154
267,0.151
268,0.152
269,0.153
270,0.153
271,0.152
272,0.149
273,0.154
274,0.154
275,0.159
