Iteration,Time (s)
1,0.443
2,0.05
3,0.041
4,0.042
5,0.04
6,0.038
7,0.043
8,0.038
9,0.038
10,0.042
11,0.041
12,0.036
13,0.049
14,0.041
15,0.041
16,0.039
17,0.041
18,0.04
19,0.041
20,0.036
21,0.039
22,0.047
23,0.04
24,0.037
25,0.044
26,0.068
27,0.038
28,0.037
29,0.043
30,0.04
31,0.044
32,0.039
33,0.039
34,0.045
35,0.04
36,0.041
37,0.042
38,0.039
39,0.039
40,0.039
41,0.044
42,0.037
43,0.041
44,0.04
45,0.042
46,0.039
47,0.038
48,0.039
49,0.048
50,0.039
51,0.042
52,0.04
53,0.041
54,0.038
55,0.042
56,0.044
57,0.044
58,0.036
59,0.035
60,0.04
61,0.034
62,0.038
63,0.037
64,0.041
65,0.039
66,0.038
67,0.038
68,0.035
69,0.042
70,0.039
71,0.041
72,0.038
73,0.046
74,0.037
75,0.038
76,0.044
77,0.046
78,0.042
79,0.038
80,0.045
81,0.041
82,0.04
83,0.04
84,0.044
85,0.041
86,0.036
87,0.042
88,0.042
89,0.035
90,0.044
91,0.045
92,0.035
93,0.038
94,0.034
95,0.038
96,0.037
97,0.043
98,0.039
99,0.036
100,0.035
101,0.041
102,0.036
103,0.04
104,0.04
105,0.04
106,0.04
107,0.038
108,0.037
109,0.047
110,0.04
111,0.046
112,0.045
113,0.039
114,0.037
115,0.039
116,0.037
117,0.04
118,0.04
119,0.036
120,0.038
121,0.042
122,0.04
123,0.036
124,0.042
125,0.039
126,0.034
127,0.036
128,0.043
129,0.048
130,0.036
131,0.038
132,0.037
133,0.036
134,0.044
135,0.041
136,0.042
137,0.044
138,0.043
139,0.038
140,0.045
141,0.042
142,0.04
143,0.038
144,0.041
145,0.039
146,0.038
147,0.041
148,0.036
149,0.038
150,0.036
151,0.035
152,0.039
153,0.041
154,0.038
155,0.042
156,0.04
157,0.04
158,0.037
159,0.038
160,0.038
161,0.038
162,0.039
163,0.041
164,0.044
165,0.042
166,0.043
167,0.041
168,0.042
169,0.046
170,0.034
171,0.035
172,0.037
173,0.041
174,0.044
175,0.036
176,0.046
177,0.04
178,0.038
179,0.04
180,0.04
181,0.036
182,0.044
183,0.044
184,0.034
185,0.037
186,0.034
187,0.041
188,0.035
189,0.043
190,0.033
191,0.039
192,0.049
193,0.046
194,0.043
195,0.036
196,0.04
197,0.038
198,0.041
199,0.04
200,0.043
201,0.038
202,0.04
203,0.042
204,0.04
205,0.035
206,0.038
207,0.042
208,0.039
209,0.04
210,0.04
211,0.043
212,0.045
213,0.041
214,0.038
215,0.036
216,0.037
217,0.039
218,0.033
219,0.04
220,0.039
221,0.041
222,0.035
223,0.043
224,0.041
225,0.041
226,0.039
227,0.045
228,0.037
229,0.037
230,0.038
231,0.04
232,0.04
233,0.041
234,0.038
235,0.04
236,0.038
237,0.039
238,0.045
239,0.037
240,0.036
241,0.04
242,0.037
243,0.041
244,0.039
245,0.04
246,0.041
247,0.04
248,0.042
249,0.039
250,0.044
251,0.037
252,0.04
253,0.041
254,0.045
255,0.039
256,0.038
257,0.04
258,0.038
259,0.04
260,0.04
261,0.037
262,0.038
263,0.041
264,0.039
265,0.043
266,0.038
267,0.039
268,0.035
269,0.04
270,0.039
271,0.041
272,0.034
273,0.037
274,0.038
275,0.036
276,0.036
277,0.038
278,0.041
279,0.038
280,0.044
281,0.04
282,0.04
283,0.039
284,0.037
285,0.034
286,0.037
287,0.041
288,0.042
289,0.041
290,0.043
291,0.04
292,0.044
293,0.038
294,0.04
295,0.041
296,0.037
297,0.039
298,0.047
299,0.036
300,0.038
301,0.036
302,0.041
303,0.053
304,0.041
305,0.041
306,0.044
307,0.043
308,0.038
309,0.038
310,0.039
311,0.033
312,0.043
313,0.037
314,0.04
315,0.037
316,0.044
317,0.041
318,0.043
319,0.046
320,0.042
321,0.036
322,0.042
323,0.039
324,0.043
325,0.046
326,0.039
327,0.035
328,0.04
329,0.04
330,0.04
331,0.038
332,0.038
333,0.037
334,0.037
335,0.039
336,0.036
337,0.049
338,0.036
339,0.042
340,0.037
341,0.041
342,0.039
343,0.042
344,0.044
