Iteration,Time (ms)
1,0.192
2,0.117
3,0.122
4,0.115
5,0.123
6,0.115
7,0.123
8,0.119
9,0.125
10,0.124
11,0.134
12,0.125
13,0.123
14,0.117
15,0.123
16,0.119
17,0.126
18,0.121
19,0.128
20,0.127
21,0.135
22,0.12
23,0.13
24,0.125
25,0.134
26,0.139
27,0.129
28,0.126
29,0.124
30,0.122
31,0.126
32,0.122
33,0.124
34,0.121
35,0.122
36,0.122
37,0.127
38,0.122
39,0.125
40,0.123
41,0.125
42,0.125
43,0.123
44,0.125
45,0.12
46,0.124
47,0.124
48,0.125
49,0.125
50,0.117
51,0.124
52,0.131
53,0.124
54,0.124
55,0.128
56,0.121
57,0.122
58,0.123
59,0.124
60,0.124
61,0.126
62,0.127
63,0.122
64,0.122
65,0.123
66,0.12
67,0.123
68,0.123
69,0.123
70,0.121
71,0.125
72,0.121
73,0.124
74,0.12
75,0.126
76,0.121
77,0.117
78,0.122
79,0.122
80,0.122
81,0.124
82,0.122
83,0.123
84,0.125
85,0.129
86,0.125
87,0.122
88,0.115
89,0.122
90,0.122
91,0.121
92,0.125
93,0.125
94,0.121
95,0.135
96,0.121
97,0.123
98,0.123
99,0.121
100,0.127
101,0.121
102,0.123
103,0.121
104,0.126
105,0.125
106,0.12
107,0.122
108,0.123
109,0.123
110,0.122
111,0.124
112,0.122
113,0.12
114,0.126
115,0.122
116,0.125
117,0.123
118,0.123
119,0.128
120,0.121
121,0.121
122,0.121
123,0.123
124,0.125
125,0.124
126,0.121
127,0.133
128,0.128
129,0.123
130,0.124
131,0.126
132,0.122
133,0.125
134,0.121
135,0.117
136,0.123
137,0.124
138,0.122
139,0.119
140,0.125
141,0.125
142,0.123
143,0.124
144,0.124
145,0.125
146,0.123
147,0.125
148,0.119
149,0.124
150,0.123
151,0.124
152,0.123
153,0.132
154,0.12
155,0.133
156,0.125
157,0.126
158,0.122
159,0.123
160,0.126
161,0.125
162,0.126
163,0.12
164,0.135
165,0.118
166,0.125
167,0.12
168,0.122
169,0.12
170,0.125
171,0.122
172,0.12
173,0.123
174,0.123
175,0.121
176,0.125
177,0.122
178,0.123
179,0.125
180,0.124
181,0.123
182,0.122
183,0.124
184,0.115
185,0.122
186,0.127
187,0.122
188,0.123
189,0.121
190,0.122
191,0.135
192,0.125
193,0.112
194,0.122
195,0.123
196,0.12
197,0.123
198,0.121
199,0.122
200,0.119
201,0.129
202,0.124
203,0.122
204,0.125
205,0.124
206,0.124
207,0.121
208,0.126
209,0.121
210,0.129
211,0.119
212,0.118
213,0.123
214,0.138
215,0.118
216,0.123
217,0.126
218,0.126
219,0.124
220,0.131
221,0.124
222,0.124
223,0.126
224,0.121
225,0.123
226,0.119
227,0.124
228,0.12
229,0.123
230,0.122
231,0.123
232,0.127
233,0.134
234,0.131
235,0.129
236,0.122
237,0.125
238,0.122
239,0.128
240,0.122
241,0.131
242,0.13
243,0.123
244,0.125
245,0.121
246,0.125
247,0.12
248,0.12
249,0.122
250,0.129
251,0.122
252,0.128
253,0.128
254,0.122
255,0.117
256,0.121
257,0.123
258,0.122
259,0.119
260,0.121
261,0.121
262,0.121
263,0.123
264,0.116
265,0.123
266,0.125
267,0.123
268,0.123
269,0.125
270,0.126
271,0.125
272,0.125
273,0.123
274,0.124
275,0.122
276,0.126
277,0.122
278,0.123
279,0.125
280,0.124
281,0.122
282,0.132
283,0.125
284,0.123
285,0.123
286,0.134
287,0.12
288,0.123
289,0.124
290,0.122
291,0.114
292,0.127
293,0.123
294,0.124
295,0.124
296,0.124
297,0.118
298,0.121
299,0.121
300,0.121
301,0.123
302,0.144
303,0.138
304,0.124
305,0.124
306,0.122
307,0.124
308,0.124
309,0.12
310,0.125
311,0.123
312,0.122
313,0.122
314,0.124
315,0.123
316,0.126
317,0.12
318,0.116
319,0.119
320,0.119
321,0.123
322,0.121
323,0.122
324,0.12
325,0.126
326,0.123
327,0.123
328,0.121
329,0.126
330,0.121
331,0.124
332,0.121
333,0.125
334,0.12
335,0.124
336,0.123
337,0.122
338,0.12
339,0.126
340,0.121
341,0.124
342,0.119
343,0.123
344,0.124
345,0.117
346,0.123
347,0.126
348,0.121
349,0.126
350,0.125
351,0.124
352,0.127
353,0.121
354,0.12
355,0.128
356,0.122
357,0.125
358,0.124
359,0.121
360,0.121
361,0.129
362,0.132
363,0.12
364,0.124
365,0.12
366,0.124
367,0.139
368,0.157
369,0.154
370,0.127
371,0.141
372,0.149
373,0.137
374,0.134
375,0.127
376,0.125
377,0.133
378,0.131
379,0.152
380,0.129
381,0.13
382,0.128
383,0.129
384,0.14
385,0.134
386,0.146
387,0.138
388,0.123
389,0.13
390,0.129
391,0.13
392,0.122
393,0.13
394,0.131
395,0.132
396,0.132
397,0.131
398,0.131
399,0.132
400,0.13
401,0.132
402,0.13
403,0.133
404,0.13
405,0.128
406,0.123
407,0.126
408,0.132
409,0.134
410,0.131
411,0.128
412,0.13
413,0.132
414,0.116
415,0.121
416,0.124
417,0.122
418,0.124
419,0.119
420,0.122
421,0.12
422,0.122
423,0.125
424,0.121
425,0.122
426,0.121
427,0.125
428,0.118
429,0.121
430,0.123
431,0.126
432,0.124
433,0.123
434,0.124
435,0.124
436,0.121
437,0.123
438,0.125
439,0.116
440,0.13
441,0.127
442,0.123
443,0.134
444,0.143
445,0.12
446,0.131
447,0.122
448,0.122
449,0.124
450,0.124
451,0.123
452,0.123
453,0.12
454,0.122
455,0.12
456,0.123
457,0.125
458,0.119
459,0.123
460,0.122
461,0.126
462,0.123
463,0.123
464,0.121
465,0.12
466,0.118
467,0.124
468,0.132
469,0.124
470,0.124
471,0.122
472,0.128
473,0.12
474,0.125
475,0.123
476,0.124
477,0.127
478,0.122
479,0.12
480,0.122
481,0.118
482,0.128
483,0.118
484,0.125
485,0.125
486,0.128
487,0.123
488,0.119
489,0.127
490,0.124
491,0.123
492,0.121
493,0.12
494,0.125
495,0.124
496,0.121
497,0.124
498,0.123
499,0.118
500,0.122
501,0.128
502,0.125
503,0.129
504,0.125
505,0.124
506,0.129
507,0.127
508,0.126
509,0.131
510,0.123
511,0.124
512,0.121
513,0.142
514,0.119
515,0.123
516,0.125
517,0.124
518,0.124
519,0.115
520,0.119
521,0.122
522,0.123
523,0.121
524,0.126
525,0.125
526,0.123
527,0.12
528,0.126
529,0.123
530,0.125
531,0.124
532,0.122
533,0.122
534,0.128
535,0.123
536,0.12
537,0.119
538,0.118
539,0.125
540,0.122
541,0.124
542,0.125
543,0.123
544,0.128
545,0.121
546,0.124
547,0.122
548,0.12
549,0.117
550,0.124
551,0.12
552,0.12
553,0.126
554,0.121
555,0.123
556,0.127
557,0.125
558,0.124
559,0.126
560,0.125
561,0.123
562,0.121
563,0.12
564,0.122
565,0.129
566,0.122
567,0.127
568,0.124
569,0.117
570,0.12
571,0.123
572,0.125
573,0.123
574,0.122
575,0.119
576,0.121
577,0.122
578,0.121
579,0.12
580,0.136
581,0.128
582,0.128
583,0.147
584,0.122
585,0.125
586,0.125
587,0.124
588,0.13
589,0.122
590,0.121
591,0.13
592,0.128
593,0.126
594,0.12
595,0.128
596,0.123
597,0.125
598,0.122
599,0.127
600,0.126
601,0.124
602,0.124
603,0.125
604,0.123
605,0.127
606,0.121
607,0.143
608,0.125
609,0.128
610,0.127
611,0.128
612,0.125
613,0.122
614,0.121
615,0.118
616,0.115
617,0.122
618,0.12
619,0.116
620,0.124
621,0.122
622,0.127
623,0.127
624,0.12
625,0.13
626,0.125
627,0.12
628,0.122
629,0.123
630,0.123
631,0.124
632,0.12
633,0.123
634,0.128
635,0.122
636,0.119
637,0.125
638,0.122
639,0.121
640,0.126
641,0.121
642,0.121
643,0.123
644,0.129
645,0.121
646,0.119
647,0.121
648,0.128
649,0.12
650,0.124
651,0.122
652,0.146
653,0.124
654,0.123
655,0.122
656,0.124
657,0.124
658,0.127
659,0.119
660,0.123
661,0.119
662,0.124
663,0.122
664,0.126
665,0.121
666,0.125
667,0.123
668,0.125
669,0.119
670,0.124
671,0.123
672,0.125
673,0.127
674,0.121
675,0.129
676,0.124
677,0.125
678,0.125
679,0.127
680,0.125
681,0.123
682,0.116
683,0.12
684,0.122
685,0.128
686,0.123
687,0.124
688,0.124
689,0.122
690,0.124
691,0.124
692,0.126
693,0.122
694,0.125
695,0.129
696,0.128
697,0.118
698,0.118
699,0.125
700,0.123
701,0.122
702,0.125
703,0.121
704,0.128
705,0.125
706,0.121
707,0.12
708,0.118
709,0.11
710,0.122
711,0.122
712,0.122
713,0.121
714,0.125
715,0.123
716,0.118
717,0.121
718,0.118
719,0.123
720,0.121
721,0.119
722,0.141
723,0.119
724,0.124
725,0.122
726,0.126
727,0.118
728,0.121
729,0.123
730,0.12
731,0.121
732,0.125
733,0.123
734,0.119
735,0.119
736,0.124
737,0.127
738,0.123
739,0.122
740,0.123
741,0.129
742,0.12
743,0.125
744,0.123
745,0.119
746,0.122
747,0.127
748,0.121
749,0.122
