Iteration,Time (s)
1,0.061
2,0.047
3,0.048
4,0.047
5,0.047
6,0.047
7,0.045
8,0.045
9,0.039
10,0.034
11,0.034
12,0.044
13,0.041
14,0.047
15,0.037
16,0.042
17,0.037
18,0.045
19,0.039
20,0.038
21,0.039
22,0.036
23,0.041
24,0.039
25,0.039
26,0.056
27,0.043
28,0.037
29,0.032
30,0.038
31,0.038
32,0.038
33,0.039
34,0.032
35,0.038
36,0.036
37,0.039
38,0.041
39,0.037
40,0.04
41,0.038
42,0.034
43,0.036
44,0.039
45,0.041
46,0.045
47,0.04
48,0.038
49,0.042
50,0.047
51,0.039
52,0.042
53,0.045
54,0.036
55,0.042
56,0.039
57,0.038
58,0.042
59,0.041
60,0.038
61,0.047
62,0.035
63,0.042
64,0.038
65,0.039
66,0.036
67,0.039
68,0.038
69,0.04
70,0.036
71,0.041
72,0.037
73,0.039
74,0.035
75,0.043
76,0.048
77,0.044
78,0.04
79,0.036
80,0.037
81,0.04
82,0.037
83,0.039
84,0.04
85,0.04
86,0.038
87,0.042
88,0.045
89,0.033
90,0.036
91,0.044
92,0.04
93,0.036
94,0.04
95,0.039
96,0.051
97,0.043
98,0.044
99,0.057
100,0.036
101,0.045
102,0.05
103,0.038
104,0.04
105,0.037
106,0.036
107,0.038
108,0.04
109,0.037
110,0.035
111,0.04
112,0.043
113,0.046
114,0.042
115,0.038
116,0.043
117,0.033
118,0.036
119,0.044
120,0.036
121,0.036
122,0.039
123,0.038
124,0.037
125,0.041
126,0.036
127,0.041
128,0.043
129,0.055
130,0.043
131,0.044
132,0.034
133,0.035
134,0.043
135,0.045
136,0.044
137,0.037
138,0.046
139,0.05
140,0.035
141,0.039
142,0.037
143,0.039
144,0.038
145,0.037
146,0.044
147,0.049
148,0.041
149,0.034
150,0.039
151,0.04
152,0.037
153,0.038
154,0.042
155,0.037
156,0.038
157,0.039
158,0.042
159,0.04
160,0.036
161,0.038
162,0.04
163,0.04
164,0.045
165,0.047
166,0.042
167,0.038
168,0.04
169,0.038
170,0.036
171,0.037
172,0.034
173,0.043
174,0.034
175,0.037
176,0.039
177,0.044
178,0.039
179,0.04
180,0.036
181,0.038
182,0.034
183,0.048
184,0.039
185,0.042
186,0.037
187,0.037
188,0.039
189,0.039
190,0.04
191,0.044
192,0.042
193,0.046
194,0.037
195,0.045
196,0.039
197,0.038
198,0.038
199,0.039
200,0.035
201,0.037
202,0.036
203,0.046
204,0.047
205,0.042
206,0.042
207,0.042
208,0.046
209,0.035
210,0.048
211,0.057
212,0.042
213,0.048
214,0.045
215,0.045
216,0.037
217,0.038
218,0.04
219,0.042
220,0.039
221,0.041
222,0.038
223,0.037
224,0.044
225,0.038
226,0.044
227,0.037
228,0.04
229,0.04
230,0.036
231,0.037
232,0.042
233,0.04
234,0.048
235,0.045
236,0.05
237,0.042
238,0.042
239,0.046
240,0.043
241,0.046
242,0.035
243,0.041
244,0.039
245,0.044
246,0.036
247,0.04
248,0.038
249,0.035
250,0.036
251,0.036
252,0.041
253,0.036
254,0.04
255,0.047
256,0.036
257,0.041
258,0.035
259,0.041
260,0.041
261,0.036
262,0.04
263,0.048
264,0.046
265,0.04
266,0.037
267,0.042
268,0.042
269,0.036
270,0.037
271,0.042
272,0.04
273,0.042
274,0.041
275,0.036
276,0.041
277,0.037
278,0.037
279,0.039
280,0.038
281,0.041
282,0.039
283,0.037
284,0.036
285,0.036
286,0.033
287,0.038
288,0.037
289,0.038
290,0.044
291,0.043
292,0.039
293,0.04
294,0.043
295,0.042
296,0.037
297,0.042
298,0.045
299,0.047
300,0.034
301,0.038
302,0.038
303,0.045
304,0.033
305,0.037
306,0.04
307,0.042
308,0.037
309,0.035
310,0.04
311,0.037
312,0.038
313,0.034
314,0.039
315,0.04
316,0.038
317,0.045
318,0.046
319,0.037
320,0.04
321,0.037
322,0.036
323,0.033
324,0.045
325,0.042
326,0.043
327,0.041
328,0.037
329,0.039
330,0.041
331,0.039
332,0.04
333,0.036
334,0.038
335,0.04
336,0.04
337,0.038
338,0.048
339,0.038
340,0.039
341,0.041
342,0.04
343,0.043
344,0.04
345,0.036
346,0.04
347,0.038
348,0.036
349,0.037
350,0.036
351,0.036
352,0.038
353,0.042
354,0.039
355,0.043
356,0.042
357,0.038
358,0.037
359,0.039
360,0.035
361,0.038
362,0.035
363,0.037
364,0.037
365,0.038
366,0.035
367,0.037
368,0.037
369,0.033
370,0.034
371,0.031
372,0.034
373,0.038
374,0.043
375,0.037
376,0.043
377,0.035
378,0.039
379,0.042
380,0.039
381,0.034
382,0.039
383,0.037
384,0.035
385,0.039
386,0.034
387,0.034
388,0.038
389,0.035
390,0.036
391,0.036
392,0.042
393,0.04
394,0.034
395,0.032
396,0.033
397,0.04
398,0.035
399,0.038
400,0.031
401,0.039
402,0.033
403,0.035
404,0.035
405,0.04
406,0.032
407,0.047
408,0.037
409,0.041
410,0.035
411,0.031
412,0.038
413,0.043
414,0.049
415,0.033
416,0.037
417,0.039
418,0.042
419,0.037
420,0.044
421,0.036
422,0.04
423,0.036
424,0.039
425,0.037
426,0.044
427,0.035
428,0.04
