Iteration,Time (s)
1,0.007
2,0.007
3,0.012
4,0.006
5,0.007
6,0.008
7,0.01
8,0.009
9,0.006
10,0.006
11,0.01
12,0.007
13,0.008
14,0.009
15,0.011
16,0.008
17,0.007
18,0.009
19,0.012
20,0.009
21,0.007
22,0.008
23,0.007
24,0.01
25,0.006
26,0.007
27,0.011
28,0.006
29,0.007
30,0.006
31,0.007
32,0.007
33,0.006
34,0.007
35,0.01
36,0.008
37,0.008
38,0.006
39,0.006
40,0.008
41,0.008
42,0.011
43,0.007
44,0.012
45,0.011
46,0.01
47,0.006
48,0.007
49,0.006
50,0.007
51,0.011
52,0.009
53,0.006
54,0.007
55,0.007
56,0.008
57,0.009
58,0.009
59,0.011
60,0.007
61,0.006
62,0.008
63,0.009
64,0.006
65,0.008
66,0.006
67,0.006
68,0.008
69,0.029
70,0.02
71,0.007
72,0.006
73,0.006
74,0.006
75,0.007
76,0.01
77,0.006
78,0.006
79,0.01
80,0.006
81,0.007
82,0.01
83,0.011
84,0.011
85,0.006
86,0.006
87,0.006
88,0.006
89,0.006
90,0.006
91,0.007
92,0.006
93,0.019
94,0.065
95,0.006
96,0.006
97,0.006
98,0.008
99,0.008
100,0.006
101,0.006
102,0.01
103,0.006
104,0.006
105,0.011
106,0.011
107,0.006
108,0.01
109,0.012
110,0.006
111,0.006
112,0.006
113,0.006
114,0.006
115,0.006
116,0.006
117,0.008
118,0.009
119,0.011
120,0.006
121,0.006
122,0.011
123,0.011
124,0.006
125,0.007
126,0.01
127,0.006
128,0.008
129,0.006
130,0.006
131,0.006
132,0.006
133,0.006
134,0.007
135,0.006
136,0.006
137,0.011
138,0.006
139,0.006
140,0.006
141,0.009
142,0.006
143,0.007
144,0.006
145,0.008
146,0.006
147,0.009
148,0.01
149,0.007
150,0.007
151,0.01
152,0.008
153,0.006
154,0.011
155,0.006
156,0.007
157,0.006
158,0.007
159,0.006
160,0.006
161,0.006
162,0.006
163,0.006
164,0.007
165,0.007
166,0.006
167,0.006
168,0.006
169,0.006
170,0.006
171,0.006
172,0.006
173,0.007
174,0.006
175,0.006
176,0.009
177,0.006
178,0.007
179,0.007
180,0.006
181,0.006
182,0.006
183,0.006
184,0.006
185,0.007
186,0.006
187,0.006
188,0.034
189,0.007
190,0.006
191,0.006
192,0.006
193,0.007
194,0.015
195,0.01
196,0.006
197,0.006
198,0.008
199,0.007
200,0.01
201,0.006
202,0.006
203,0.007
204,0.006
205,0.006
206,0.011
207,0.006
208,0.006
209,0.011
210,0.01
211,0.008
212,0.006
213,0.007
214,0.006
215,0.006
216,0.008
217,0.011
218,0.008
219,0.006
220,0.007
221,0.007
222,0.009
223,0.015
224,0.01
225,0.007
226,0.008
227,0.008
228,0.007
229,0.008
230,0.01
231,0.007
232,0.012
233,0.008
234,0.006
235,0.006
236,0.009
237,0.007
238,0.011
239,0.01
240,0.009
241,0.007
242,0.007
243,0.01
244,0.011
245,0.01
246,0.007
247,0.014
248,0.014
249,0.008
250,0.007
251,0.007
252,0.006
253,0.012
254,0.007
255,0.006
256,0.007
257,0.011
258,0.007
259,0.006
260,0.007
261,0.006
262,0.007
263,0.007
264,0.007
265,0.006
266,0.007
267,0.006
268,0.006
269,0.007
270,0.006
271,0.006
272,0.011
273,0.007
274,0.011
275,0.006
276,0.007
277,0.006
278,0.007
279,0.007
280,0.006
281,0.006
282,0.011
283,0.006
284,0.006
285,0.006
286,0.007
287,0.01
288,0.006
289,0.006
290,0.006
291,0.006
292,0.006
293,0.006
294,0.007
295,0.007
296,0.007
297,0.013
298,0.011
299,0.008
300,0.007
301,0.007
302,0.007
303,0.007
304,0.008
305,0.006
306,0.006
307,0.015
308,0.007
309,0.007
310,0.008
311,0.012
312,0.01
313,0.011
314,0.007
315,0.007
316,0.006
317,0.009
318,0.008
319,0.008
320,0.007
321,0.007
322,0.009
323,0.008
324,0.01
325,0.007
326,0.007
327,0.011
328,0.009
329,0.006
330,0.007
331,0.007
332,0.007
333,0.007
334,0.007
335,0.007
336,0.007
337,0.006
338,0.007
339,0.045
340,0.006
341,0.02
342,0.007
343,0.006
344,0.008
345,0.011
346,0.006
347,0.01
348,0.006
349,0.007
350,0.011
351,0.009
352,0.007
353,0.007
354,0.012
355,0.007
356,0.009
357,0.007
358,0.007
359,0.006
360,0.007
361,0.008
362,0.008
363,0.006
364,0.007
365,0.012
366,0.007
367,0.008
368,0.007
369,0.006
370,0.006
371,0.006
372,0.006
373,0.006
374,0.007
375,0.007
376,0.008
377,0.012
378,0.008
379,0.006
380,0.012
381,0.008
382,0.007
383,0.007
384,0.006
385,0.006
386,0.006
387,0.007
388,0.006
389,0.013
390,0.008
391,0.006
392,0.008
393,0.007
394,0.006
395,0.006
396,0.007
397,0.007
398,0.006
399,0.006
400,0.007
401,0.006
402,0.007
