Iteration,Time (s)
1,2.469
2,2.312
3,2.532
4,2.412
5,2.488
6,2.548
7,2.659
8,2.633
9,2.364
10,2.342
11,2.361
12,2.742
13,2.815
14,3.056
15,3.029
16,2.71
17,3.085
18,2.976
19,2.799
20,3.079
21,3.052
22,2.624
23,2.592
24,3.052
25,3.023
26,2.91
27,3.098
28,2.898
29,2.641
30,2.79
31,3.219
32,2.623
33,2.918
34,2.811
35,2.49
36,2.488
37,2.435
38,2.56
39,2.633
40,2.484
41,2.493
42,2.492
43,2.49
44,2.478
45,2.51
46,2.461
47,2.485
48,2.502
49,2.488
50,2.476
51,2.477
52,2.488
53,2.492
54,2.502
55,2.557
56,2.553
57,2.498
58,2.471
59,2.474
60,2.502
61,2.509
62,2.498
63,2.624
64,2.637
65,2.548
66,2.901
67,2.781
68,2.764
69,18.201
70,8.432
71,5.97
72,2.328
73,2.296
74,2.31
75,2.32
76,2.328
77,2.325
78,2.326
79,2.319
80,2.307
81,2.317
82,2.323
83,2.316
84,2.34
85,2.312
86,2.312
87,2.321
88,2.302
89,2.306
90,2.331
91,2.311
92,2.306
93,3.322
94,7.189
95,7.109
96,4.112
97,4.191
98,2.311
99,2.36
100,2.31
101,2.305
102,2.328
103,2.305
104,2.307
105,2.327
106,2.327
107,2.306
108,2.315
109,2.469
110,2.497
111,2.303
112,2.302
113,2.279
114,2.293
115,2.807
116,2.311
117,2.324
118,2.299
119,2.315
120,2.61
121,4.079
122,4.313
123,2.308
124,2.295
125,2.285
126,2.294
127,2.283
128,2.295
129,2.282
130,2.301
131,2.36
132,2.296
133,2.382
134,2.308
135,2.302
136,2.299
137,2.295
138,2.294
139,2.305
140,2.304
141,2.297
142,2.298
143,2.321
144,2.311
145,2.295
146,2.304
147,2.297
148,2.521
149,2.539
150,2.867
151,4.475
152,7.52
153,2.695
154,2.305
155,2.591
156,2.304
157,2.291
158,2.306
159,2.301
160,2.298
161,2.613
162,2.561
163,2.297
164,2.296
165,2.332
166,2.296
167,2.296
168,2.288
169,2.295
170,2.294
171,2.299
172,2.305
173,2.309
174,2.295
175,2.307
176,2.298
177,2.301
178,2.295
179,2.309
180,2.298
181,2.301
182,2.314
183,2.306
184,2.303
185,2.308
186,2.297
187,7.14
188,7.186
189,5.149
190,4.179
191,3.127
192,2.286
193,4.327
194,4.074
195,2.329
196,2.311
197,2.994
198,2.877
199,2.65
200,2.885
