Iteration,Time (s)
1,1.255
2,1.253
3,1.292
4,1.365
5,1.217
6,1.322
7,1.376
8,1.236
9,1.233
10,1.222
11,1.316
12,1.792
13,1.341
14,1.75
15,1.4
16,1.69
17,1.512
18,1.636
19,1.651
20,1.614
21,1.396
22,1.43
23,1.396
24,1.501
25,1.635
26,1.861
27,1.693
28,1.329
29,1.398
30,1.571
31,1.365
32,1.303
33,1.314
34,1.791
35,1.254
36,1.236
37,1.38
38,1.301
39,1.37
40,1.311
41,1.292
42,1.319
43,1.31
44,1.296
45,1.323
46,1.31
47,1.307
48,1.309
49,1.308
50,1.304
51,1.311
52,1.288
53,1.318
54,1.304
55,1.31
56,1.324
57,1.316
58,1.312
59,1.309
60,1.31
61,1.318
62,1.405
63,1.208
64,1.324
65,1.621
66,1.534
67,1.462
68,1.492
69,4.27
70,4.336
71,1.182
72,1.19
73,1.192
74,1.194
75,1.181
76,1.191
77,1.194
78,1.188
79,1.194
80,1.192
81,1.194
82,1.193
83,1.193
84,1.186
85,1.194
86,1.182
87,1.184
88,1.202
89,1.177
90,1.2
91,1.202
92,1.191
93,3.583
94,3.761
95,2.857
96,2.066
97,1.6
98,1.18
99,1.199
100,1.189
101,1.186
102,1.182
103,1.194
104,1.177
105,1.176
106,1.202
107,1.179
108,1.176
109,1.417
110,1.185
111,1.19
112,1.189
113,1.191
114,1.176
115,1.305
116,1.196
117,1.176
118,1.188
119,1.196
120,1.999
121,2.038
122,1.182
123,1.205
124,1.19
125,1.185
126,1.198
127,1.196
128,1.186
129,1.203
130,1.199
131,1.191
132,1.203
133,1.192
134,1.193
135,1.209
136,1.178
137,1.193
138,1.206
139,1.181
140,1.188
141,1.196
142,1.267
143,1.176
144,1.227
145,1.19
146,1.188
147,1.257
148,1.36
149,1.461
150,2.161
151,2.319
152,1.956
153,1.218
154,1.186
155,1.249
156,1.203
157,1.182
158,1.192
159,1.196
160,1.193
161,1.217
162,1.257
163,1.189
164,1.202
165,1.199
166,1.194
167,1.192
168,1.21
169,1.188
170,1.184
171,1.2
172,1.209
173,1.181
174,1.214
175,1.192
176,1.193
177,1.208
178,1.182
179,1.191
180,1.195
181,1.203
182,1.195
183,1.214
184,1.198
185,1.193
186,1.437
187,3.66
188,3.682
189,2.246
190,2.15
191,1.175
192,1.187
193,2.071
194,2.349
195,1.186
196,1.175
197,1.613
198,1.435
199,1.532
200,1.351
201,1.187
202,1.172
203,1.182
204,1.184
205,1.226
206,1.193
207,1.625
208,1.342
209,1.374
210,1.297
211,1.673
212,1.246
213,1.265
214,1.238
215,1.248
216,1.242
217,1.239
