Iteration,Time (s)
1,0.009
2,0.008
3,0.009
4,0.008
5,0.012
6,0.009
7,0.009
8,0.011
9,0.009
10,0.009
11,0.008
12,0.013
13,0.009
14,0.008
15,0.011
16,0.01
17,0.017
18,0.009
19,0.008
20,0.01
21,0.009
22,0.009
23,0.009
24,0.008
25,0.01
26,0.009
27,0.01
28,0.009
29,0.01
30,0.01
31,0.009
32,0.009
33,0.009
34,0.01
35,0.009
36,0.009
37,0.01
38,0.011
39,0.01
40,0.01
41,0.01
42,0.01
43,0.009
44,0.011
45,0.012
46,0.011
47,0.01
48,0.01
49,0.012
50,0.011
51,0.014
52,0.012
53,0.009
54,0.012
55,0.011
56,0.011
57,0.011
58,0.01
59,0.01
60,0.011
61,0.01
62,0.01
63,0.011
64,0.01
65,0.009
66,0.01
67,0.009
68,0.01
69,0.013
70,0.01
71,0.011
72,0.009
73,0.009
74,0.01
75,0.011
76,0.013
77,0.011
78,0.011
79,0.011
80,0.01
81,0.011
82,0.01
83,0.01
84,0.011
85,0.013
86,0.01
87,0.01
88,0.009
89,0.011
90,0.012
91,0.01
92,0.011
93,0.01
94,0.01
95,0.01
96,0.011
97,0.01
98,0.011
99,0.012
100,0.012
101,0.009
102,0.01
103,0.01
104,0.01
105,0.011
106,0.011
107,0.01
108,0.01
109,0.011
110,0.011
111,0.012
112,0.009
113,0.01
114,0.01
115,0.01
116,0.01
117,0.009
118,0.011
119,0.01
120,0.01
121,0.011
122,0.011
123,0.01
124,0.009
125,0.011
126,0.011
127,0.01
128,0.01
129,0.01
130,0.011
131,0.013
132,0.009
133,0.01
134,0.01
135,0.011
136,0.011
137,0.011
138,0.008
139,0.009
140,0.01
141,0.012
142,0.011
143,0.011
144,0.01
145,0.01
146,0.01
147,0.009
148,0.009
149,0.011
150,0.011
151,0.012
152,0.01
153,0.01
154,0.011
155,0.01
156,0.011
157,0.013
158,0.011
159,0.009
160,0.009
161,0.012
162,0.01
163,0.01
164,0.01
165,0.008
166,0.008
167,0.009
168,0.008
169,0.009
170,0.008
171,0.009
172,0.008
173,0.008
174,0.009
175,0.009
176,0.008
177,0.008
178,0.008
179,0.009
180,0.008
181,0.008
182,0.011
183,0.01
184,0.01
185,0.01
186,0.009
187,0.009
188,0.01
189,0.01
190,0.009
191,0.009
192,0.01
193,0.01
194,0.009
195,0.009
196,0.01
197,0.01
198,0.01
199,0.009
200,0.01
201,0.009
202,0.009
203,0.01
204,0.009
205,0.009
206,0.01
207,0.011
208,0.009
209,0.009
210,0.009
211,0.01
212,0.01
213,0.009
214,0.008
215,0.01
216,0.009
217,0.011
218,0.01
219,0.009
220,0.011
221,0.009
222,0.01
223,0.009
224,0.01
225,0.009
226,0.009
227,0.009
228,0.012
229,0.01
230,0.01
231,0.01
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,0.01
240,0.009
241,0.009
242,0.01
243,0.011
244,0.009
245,0.01
246,0.012
247,0.011
248,0.01
249,0.009
250,0.01
251,0.01
252,0.01
253,0.009
254,0.01
255,0.009
256,0.01
257,0.01
258,0.009
259,0.01
260,0.009
261,0.012
262,0.009
