Iteration,Time (s)
1,1.22
2,1.061
3,1.077
4,1.08
5,1.052
6,1.354
7,1.279
8,1.136
9,1.413
10,1.117
11,1.076
12,1.23
13,1.264
14,1.139
15,0.992
16,1.459
17,1.084
18,1.197
19,1.025
20,1.27
21,1.229
22,1.111
23,1.136
24,1.074
25,1.071
26,1.097
27,1.124
28,1.075
29,1.116
30,1.099
31,1.165
32,1.087
33,1.089
34,1.116
35,1.08
36,1.325
37,1.206
38,1.345
39,1.424
40,1.211
41,1.223
42,1.185
43,1.167
44,1.271
45,1.316
46,1.484
47,1.421
48,1.257
49,1.261
50,1.343
51,1.378
52,1.337
53,1.635
54,1.352
55,1.327
56,1.439
57,1.303
58,1.35
59,1.331
60,1.316
61,1.316
62,1.323
63,1.352
64,1.337
65,1.449
66,1.326
67,1.327
68,1.351
69,1.321
70,1.302
71,1.347
72,1.304
73,1.315
74,1.298
75,1.292
76,1.366
77,1.389
78,1.296
79,1.327
80,1.316
81,1.338
82,1.325
83,1.316
84,1.288
85,1.34
86,1.439
87,1.313
88,1.326
89,1.324
90,1.331
91,1.306
92,1.341
93,1.316
94,1.306
95,1.325
96,1.328
97,1.404
98,1.302
99,1.304
100,1.318
101,1.329
102,1.334
103,1.296
104,1.315
105,1.343
106,1.433
107,1.33
108,1.31
109,1.326
110,1.323
111,1.348
112,1.357
113,1.322
114,1.492
115,1.639
116,1.311
117,1.317
118,1.445
119,1.31
120,1.326
121,1.283
122,1.328
123,1.325
124,1.304
125,1.314
126,1.325
127,1.337
128,1.336
129,1.343
130,1.289
131,1.435
132,1.332
133,1.341
134,1.295
135,1.32
136,1.348
137,1.448
138,1.334
139,1.362
140,1.479
141,1.374
142,1.313
143,1.324
144,1.321
145,1.302
146,1.321
147,1.345
148,1.306
149,1.299
150,1.319
151,1.338
152,1.47
153,1.351
154,1.327
155,1.384
156,1.313
157,1.351
158,1.287
159,1.323
160,1.298
161,1.363
162,1.434
163,1.358
164,1.398
165,1.498
166,1.021
167,1.099
168,0.986
169,0.995
170,1.007
171,1.003
172,1.006
173,0.999
174,0.974
175,1.049
176,1.136
177,1.019
178,1.001
179,1.01
180,1.022
181,1.305
182,1.243
183,1.247
184,1.221
185,1.224
186,1.227
187,1.236
188,1.33
189,1.187
190,1.191
191,1.194
192,1.199
193,1.234
194,1.193
195,1.174
196,1.206
197,1.208
198,1.505
199,1.197
200,1.191
201,1.18
202,1.196
203,1.183
204,1.188
205,1.192
206,1.219
207,1.203
208,1.195
209,1.188
210,1.19
211,1.271
212,1.255
213,1.254
214,1.199
215,1.209
216,1.187
217,1.234
218,1.202
219,1.192
220,1.184
221,1.311
222,1.188
223,1.19
224,1.19
225,1.203
226,1.223
227,1.203
228,1.193
229,1.168
230,1.19
231,1.209
232,1.223
233,1.183
234,1.341
235,1.206
236,1.172
237,1.189
238,1.194
239,1.186
240,1.204
241,1.181
242,1.187
243,1.2
244,1.202
245,1.364
246,1.197
247,1.204
248,1.182
249,1.216
250,1.198
251,1.194
252,1.194
253,1.201
254,1.192
255,1.189
256,1.176
257,1.198
258,1.34
259,1.191
260,1.191
261,1.192
262,1.2
263,1.221
264,1.228
265,1.176
266,1.201
267,1.189
268,1.214
269,1.249
270,1.161
271,1.201
272,1.237
273,1.198
274,1.192
275,1.197
276,1.201
277,1.202
278,1.201
279,1.209
280,1.219
281,1.353
282,1.207
283,1.218
284,1.193
285,1.188
286,1.2
287,1.197
288,1.194
289,1.223
290,1.204
291,1.2
292,1.26
293,1.27
294,1.18
295,1.19
296,1.19
297,1.195
298,1.188
299,1.238
300,1.218
301,1.212
302,1.199
303,1.189
304,1.18
305,1.371
306,1.182
307,1.205
308,1.177
309,1.211
310,1.202
311,1.192
312,1.262
313,1.203
314,1.17
315,1.187
