Iteration,Time (s)
1,0.559
2,0.541
3,0.569
4,0.605
5,0.901
6,0.619
7,0.608
8,0.699
9,0.726
10,0.868
11,0.543
12,0.661
13,0.578
14,0.549
15,0.661
16,0.584
17,0.632
18,0.583
19,0.557
20,0.739
21,0.601
22,0.619
23,0.595
24,0.59
25,0.587
26,0.583
27,0.589
28,0.585
29,0.693
30,0.623
31,0.59
32,0.583
33,0.59
34,0.591
35,0.637
36,0.726
37,0.684
38,1.003
39,0.679
40,0.666
41,0.794
42,0.673
43,0.75
44,0.827
45,0.82
46,0.8
47,0.745
48,0.712
49,0.798
50,0.718
51,0.868
52,0.761
53,0.741
54,0.787
55,0.861
56,0.732
57,0.729
58,0.726
59,0.737
60,0.739
61,0.72
62,0.733
63,0.866
64,0.73
65,0.88
66,0.716
67,0.719
68,0.727
69,0.718
70,0.764
71,0.708
72,0.724
73,0.712
74,0.725
75,0.72
76,0.772
77,0.727
78,0.734
79,0.723
80,0.73
81,0.725
82,0.724
83,0.718
84,0.694
85,0.768
86,0.786
87,0.716
88,0.749
89,0.728
90,0.741
91,0.715
92,0.734
93,0.703
94,0.715
95,0.72
96,0.795
97,0.729
98,0.709
99,0.744
100,0.746
101,0.743
102,0.721
103,0.725
104,0.721
105,0.734
106,0.843
107,0.743
108,0.713
109,0.725
110,0.732
111,0.74
112,0.734
113,0.906
114,0.798
115,0.714
116,0.769
117,0.742
118,0.87
119,0.721
120,0.725
121,0.725
122,0.733
123,0.726
124,0.727
125,0.725
126,0.727
127,0.712
128,0.718
129,0.71
130,0.72
131,0.825
132,0.741
133,0.717
134,0.719
135,0.716
136,0.909
137,0.753
138,0.745
139,0.749
140,0.838
141,0.707
142,0.708
143,0.721
144,0.733
145,0.724
146,0.724
147,0.728
148,0.726
149,0.714
150,0.714
151,0.722
152,0.76
153,0.798
154,0.728
155,0.722
156,0.728
157,0.706
158,0.715
159,0.718
160,0.729
161,0.852
162,0.749
163,0.737
164,0.74
165,0.551
166,0.543
167,0.536
168,0.531
169,0.529
170,0.533
171,0.547
172,0.53
173,0.524
174,0.606
175,0.637
176,0.763
177,0.534
178,0.543
179,0.541
180,0.537
181,0.848
182,0.677
183,0.72
184,0.672
185,0.677
186,0.66
187,0.668
188,0.716
189,0.683
190,0.651
191,0.672
192,0.674
193,0.653
194,0.652
195,0.65
196,0.658
197,0.76
198,0.629
199,0.653
200,0.654
201,0.654
202,0.654
203,0.67
204,0.645
205,0.642
206,0.679
207,0.66
208,0.641
209,0.648
210,0.644
211,0.765
212,0.692
213,0.657
214,0.65
215,0.656
216,0.648
217,0.639
218,0.654
219,0.642
220,0.652
221,0.751
222,0.647
223,0.666
224,0.65
225,0.647
226,0.655
227,0.652
228,0.657
229,0.65
230,0.649
231,0.648
232,0.638
233,0.707
234,0.657
235,0.654
236,0.648
237,0.634
238,0.652
239,0.646
240,0.65
241,0.642
242,0.636
243,0.637
244,0.659
245,0.73
246,0.658
247,0.657
248,0.644
249,0.66
250,0.649
251,0.647
252,0.648
253,0.649
254,0.639
255,0.646
256,0.652
257,0.686
258,0.65
259,0.652
260,0.64
261,0.642
262,0.648
263,0.653
264,0.657
265,0.658
266,0.652
267,0.657
268,0.76
269,0.658
270,0.639
271,0.65
272,0.641
273,0.646
274,0.655
275,0.654
276,0.663
277,0.657
278,0.659
279,0.633
280,0.71
281,0.65
282,0.66
283,0.653
284,0.659
285,0.657
286,0.649
287,0.647
288,0.663
289,0.663
290,0.652
291,0.643
292,0.726
293,0.641
294,0.639
295,0.654
296,0.638
297,0.653
298,0.655
299,0.654
300,0.662
301,0.655
302,0.654
303,0.656
304,0.729
305,0.667
306,0.652
307,0.636
308,0.648
309,0.65
310,0.654
311,0.617
312,0.693
313,0.653
314,0.657
315,0.646
316,0.654
317,0.761
318,0.654
319,0.637
320,0.643
321,0.634
322,0.664
323,0.645
324,0.65
325,0.63
326,0.856
327,0.678
328,0.65
329,0.649
330,0.64
331,0.654
332,0.646
333,0.652
334,0.667
335,0.652
336,0.654
337,0.66
338,0.654
339,0.743
340,0.667
341,0.693
342,0.664
343,0.647
344,0.63
345,0.661
346,0.667
347,0.674
348,0.644
349,0.643
350,0.649
351,0.709
352,0.651
353,0.655
354,0.648
355,0.644
356,0.652
357,0.651
358,0.642
359,0.653
360,0.65
361,0.651
362,0.647
363,0.657
364,0.659
365,0.659
366,0.627
367,0.651
368,0.65
369,0.661
370,0.658
371,0.631
372,0.648
373,0.748
374,0.648
375,0.655
376,0.647
377,0.643
378,0.624
379,0.625
380,0.652
381,0.662
382,0.659
383,0.655
384,0.649
385,0.716
386,0.647
387,0.639
388,0.651
389,0.65
390,0.644
391,0.644
