Iteration,Time (s)
1,0.009
2,0.009
3,0.01
4,0.009
5,0.01
6,0.011
7,0.01
8,0.011
9,0.01
10,0.01
11,0.011
12,0.011
13,0.01
14,0.01
15,0.01
16,0.015
17,0.01
18,0.011
19,0.01
20,0.01
21,0.01
22,0.01
23,0.012
24,0.011
25,0.01
26,0.012
27,0.011
28,0.012
29,0.011
30,0.01
31,0.01
32,0.009
33,0.01
34,0.016
35,0.01
36,0.01
37,0.01
38,0.011
39,0.01
40,0.009
41,0.011
42,0.01
43,0.01
44,0.01
45,0.01
46,0.011
47,0.01
48,0.01
49,0.01
50,0.01
51,0.009
52,0.008
53,0.009
54,0.009
55,0.011
56,0.009
57,0.009
58,0.009
59,0.009
60,0.011
61,0.011
62,0.01
63,0.009
64,0.008
65,0.011
66,0.01
67,0.01
68,0.009
69,0.008
70,0.008
71,0.011
72,0.011
73,0.01
74,0.011
75,0.01
76,0.011
77,0.011
78,0.011
79,0.01
80,0.01
81,0.01
82,0.011
83,0.01
84,0.01
85,0.011
86,0.011
87,0.012
88,0.013
89,0.012
90,0.011
91,0.01
92,0.014
93,0.011
94,0.011
95,0.012
96,0.012
97,0.012
98,0.011
99,0.014
100,0.013
101,0.016
102,0.013
103,0.014
104,0.009
105,0.011
106,0.011
107,0.011
108,0.024
109,0.013
110,0.013
111,0.014
112,0.014
113,0.011
114,0.012
115,0.017
116,0.01
117,0.011
118,0.011
119,0.011
120,0.013
121,0.014
122,0.013
123,0.01
124,0.01
125,0.01
126,0.009
127,0.008
128,0.01
129,0.009
130,0.009
131,0.01
132,0.011
133,0.013
134,0.01
135,0.014
136,0.01
137,0.01
138,0.01
139,0.008
140,0.01
141,0.014
142,0.012
143,0.011
144,0.014
145,0.011
146,0.011
147,0.01
148,0.012
149,0.014
150,0.012
151,0.01
152,0.012
153,0.013
154,0.012
155,0.011
156,0.012
157,0.015
158,0.014
159,0.012
160,0.012
161,0.013
162,0.011
163,0.012
164,0.012
165,0.015
166,0.011
167,0.011
168,0.017
169,0.012
170,0.011
171,0.011
172,0.012
173,0.01
174,0.01
175,0.011
176,0.013
177,0.014
178,0.014
179,0.012
180,0.011
181,0.015
182,0.012
183,0.012
184,0.012
185,0.012
186,0.011
187,0.014
188,0.011
189,0.011
190,0.015
191,0.013
192,0.029
193,0.012
194,0.013
195,0.014
196,0.013
197,0.011
198,0.012
199,0.012
200,0.011
201,0.012
202,0.011
203,0.011
204,0.011
205,0.012
206,0.012
207,0.012
208,0.019
209,0.012
210,0.01
211,0.011
212,0.011
213,0.011
214,0.013
215,0.013
216,0.01
217,0.011
218,0.011
219,0.011
220,0.011
221,0.011
222,0.011
223,0.01
224,0.011
225,0.011
226,0.011
227,0.012
228,0.011
229,0.012
230,0.018
231,0.014
232,0.012
233,0.011
234,0.012
235,0.012
236,0.011
237,0.012
238,0.013
239,0.011
240,0.012
241,0.011
242,0.011
243,0.011
244,0.011
245,0.011
246,0.011
247,0.011
248,0.011
249,0.011
250,0.012
251,0.011
252,0.011
253,0.011
254,0.012
255,0.013
256,0.011
257,0.011
258,0.011
259,0.01
260,0.011
261,0.01
262,0.011
263,0.011
264,0.011
265,0.011
266,0.011
267,0.011
268,0.012
269,0.011
270,0.012
271,0.011
272,0.011
273,0.011
274,0.013
275,0.011
276,0.012
277,0.012
278,0.013
279,0.011
280,0.012
281,0.011
282,0.011
283,0.01
284,0.012
285,0.011
286,0.011
287,0.012
288,0.011
289,0.011
290,0.01
291,0.011
292,0.012
293,0.011
294,0.012
295,0.011
296,0.011
297,0.011
298,0.012
299,0.011
300,0.011
301,0.011
302,0.014
303,0.012
304,0.011
305,0.011
306,0.011
307,0.011
308,0.012
309,0.011
310,0.01
311,0.012
312,0.011
313,0.01
314,0.012
315,0.012
316,0.011
317,0.013
318,0.01
319,0.012
320,0.011
321,0.01
322,0.012
323,0.011
324,0.011
325,0.011
326,0.011
327,0.011
328,0.012
329,0.01
330,0.011
331,0.024
332,0.011
333,0.01
334,0.01
335,0.01
336,0.012
337,0.01
338,0.013
339,0.011
340,0.017
341,0.01
342,0.011
343,0.011
344,0.013
345,0.013
346,0.012
347,0.011
348,0.011
349,0.023
350,0.011
351,0.012
352,0.011
353,0.01
354,0.011
355,0.01
356,0.012
357,0.011
358,0.01
359,0.009
360,0.011
361,0.011
362,0.012
363,0.011
364,0.012
365,0.011
366,0.011
367,0.011
368,0.012
369,0.011
370,0.011
371,0.011
372,0.012
373,0.011
374,0.011
375,0.013
376,0.013
377,0.01
378,0.012
379,0.012
380,0.011
381,0.01
382,0.011
383,0.011
384,0.011
385,0.011
386,0.019
387,0.011
388,0.012
389,0.012
390,0.012
391,0.012
392,0.01
393,0.011
394,0.011
395,0.012
396,0.011
397,0.011
398,0.011
399,0.01
400,0.01
401,0.011
402,0.012
403,0.01
404,0.01
405,0.011
406,0.011
407,0.011
408,0.011
409,0.01
410,0.011
411,0.011
412,0.011
413,0.008
414,0.011
415,0.011
416,0.011
417,0.01
418,0.012
419,0.011
420,0.01
421,0.011
422,0.011
423,0.011
424,0.011
425,0.011
426,0.011
427,0.012
428,0.011
429,0.011
430,0.011
431,0.011
432,0.011
433,0.011
434,0.016
435,0.011
436,0.011
437,0.01
438,0.012
439,0.011
440,0.012
441,0.011
442,0.012
443,0.012
444,0.011
445,0.01
446,0.012
447,0.012
448,0.011
449,0.011
450,0.01
451,0.011
452,0.012
453,0.012
454,0.01
455,0.011
456,0.013
457,0.01
458,0.01
459,0.013
460,0.011
461,0.011
462,0.012
463,0.011
464,0.013
465,0.014
466,0.011
467,0.011
468,0.012
469,0.011
470,0.012
471,0.011
472,0.011
473,0.011
474,0.011
475,0.01
476,0.011
477,0.013
478,0.012
479,0.011
480,0.011
481,0.012
482,0.012
483,0.01
484,0.011
485,0.01
486,0.014
487,0.015
488,0.011
489,0.017
490,0.01
491,0.011
492,0.011
493,0.01
494,0.011
495,0.011
496,0.012
497,0.011
498,0.01
499,0.011
500,0.012
501,0.012
502,0.011
503,0.011
504,0.01
505,0.01
506,0.011
507,0.011
508,0.01
509,0.011
510,0.01
511,0.011
512,0.01
513,0.011
514,0.011
515,0.01
516,0.011
517,0.01
518,0.011
519,0.01
520,0.01
521,0.01
522,0.01
523,0.01
524,0.01
525,0.011
526,0.011
527,0.011
528,0.011
529,0.01
530,0.011
531,0.011
532,0.01
533,0.01
534,0.01
535,0.011
536,0.009
537,0.009
538,0.009
539,0.009
540,0.011
541,0.01
542,0.011
543,0.009
544,0.009
545,0.009
546,0.009
547,0.009
548,0.009
549,0.009
550,0.008
551,0.008
552,0.008
553,0.01
554,0.008
555,0.011
556,0.01
557,0.01
558,0.008
559,0.008
560,0.01
561,0.009
562,0.022
563,0.009
564,0.01
565,0.01
566,0.011
567,0.01
568,0.011
569,0.01
570,0.01
571,0.011
572,0.011
573,0.012
574,0.012
575,0.011
576,0.01
577,0.011
578,0.011
579,0.011
580,0.01
581,0.01
582,0.011
583,0.01
584,0.011
585,0.012
586,0.011
587,0.011
588,0.011
589,0.01
590,0.01
591,0.01
592,0.01
593,0.011
594,0.011
595,0.01
596,0.01
597,0.01
598,0.01
599,0.011
600,0.01
601,0.011
602,0.01
603,0.012
604,0.011
605,0.01
606,0.012
607,0.011
608,0.011
609,0.012
610,0.01
611,0.011
612,0.01
613,0.011
614,0.01
615,0.01
616,0.011
617,0.011
618,0.01
619,0.01
620,0.011
621,0.01
622,0.011
623,0.01
624,0.009
625,0.008
626,0.009
627,0.008
628,0.01
629,0.011
630,0.011
631,0.01
632,0.012
633,0.01
634,0.01
635,0.01
636,0.009
637,0.01
638,0.009
639,0.009
640,0.008
641,0.009
642,0.009
643,0.01
644,0.01
645,0.01
646,0.01
647,0.01
648,0.01
649,0.01
650,0.01
651,0.011
652,0.011
653,0.011
654,0.01
655,0.011
656,0.011
657,0.01
658,0.01
659,0.011
660,0.01
661,0.01
662,0.011
663,0.011
664,0.011
665,0.011
666,0.011
667,0.01
668,0.01
669,0.01
670,0.01
671,0.011
672,0.01
673,0.01
674,0.011
675,0.01
676,0.01
677,0.01
678,0.01
679,0.009
680,0.011
681,0.01
682,0.011
683,0.011
684,0.011
685,0.011
686,0.01
687,0.011
688,0.012
689,0.012
690,0.011
691,0.011
692,0.01
693,0.011
694,0.011
695,0.011
696,0.011
697,0.012
698,0.01
699,0.01
700,0.011
701,0.01
702,0.011
703,0.011
704,0.011
705,0.011
706,0.011
707,0.011
708,0.011
709,0.01
710,0.011
711,0.011
712,0.012
713,0.01
714,0.011
715,0.01
716,0.011
717,0.01
718,0.011
719,0.01
720,0.011
721,0.011
722,0.011
723,0.022
724,0.011
725,0.01
726,0.01
727,0.009
728,0.025
729,0.01
730,0.011
731,0.012
732,0.01
733,0.01
734,0.01
735,0.011
736,0.012
737,0.012
738,0.01
739,0.01
740,0.011
741,0.011
742,0.01
743,0.01
744,0.011
745,0.01
746,0.01
747,0.01
748,0.011
749,0.01
750,0.011
751,0.01
752,0.009
753,0.008
754,0.01
755,0.008
756,0.008
757,0.008
758,0.008
759,0.008
760,0.01
761,0.011
762,0.011
763,0.011
764,0.013
765,0.011
766,0.01
767,0.011
768,0.011
769,0.01
770,0.012
771,0.011
772,0.01
773,0.013
774,0.011
775,0.013
776,0.011
777,0.011
778,0.011
779,0.012
780,0.011
781,0.012
782,0.012
783,0.011
784,0.013
785,0.011
786,0.011
787,0.012
788,0.01
789,0.013
790,0.011
791,0.011
792,0.012
793,0.012
794,0.011
795,0.012
796,0.013
797,0.011
798,0.01
799,0.011
800,0.012
801,0.01
802,0.011
803,0.014
804,0.012
805,0.012
806,0.012
807,0.011
808,0.012
809,0.011
810,0.011
811,0.011
812,0.012
813,0.011
814,0.012
815,0.011
816,0.011
817,0.011
818,0.011
819,0.011
820,0.011
821,0.012
822,0.012
823,0.011
824,0.011
825,0.011
826,0.013
827,0.01
828,0.011
829,0.012
830,0.01
831,0.01
832,0.011
833,0.011
834,0.013
835,0.011
836,0.012
837,0.011
838,0.012
839,0.01
840,0.014
841,0.012
842,0.012
843,0.01
844,0.011
845,0.01
846,0.011
847,0.011
848,0.011
849,0.011
850,0.011
851,0.011
852,0.011
853,0.011
854,0.013
855,0.011
856,0.01
857,0.012
858,0.013
859,0.011
860,0.013
861,0.011
862,0.011
863,0.012
864,0.012
865,0.011
866,0.012
867,0.011
868,0.01
869,0.01
870,0.025
871,0.011
872,0.011
873,0.01
874,0.011
875,0.011
876,0.012
877,0.011
878,0.012
879,0.011
