Iteration,Time (s)
1,1.376
2,0.097
3,0.108
4,0.112
5,0.112
6,0.111
7,0.109
8,0.108
9,0.108
10,0.109
11,0.102
12,0.114
13,0.13
14,0.106
15,0.112
16,0.11
17,0.104
18,0.105
19,0.11
20,0.104
21,0.108
22,0.11
23,0.111
24,0.13
25,0.129
26,0.126
27,0.107
28,0.123
29,0.108
30,0.12
31,0.107
32,0.108
33,0.11
34,0.116
35,0.113
36,0.109
37,0.126
38,0.121
39,0.139
40,0.114
41,0.108
42,0.116
43,0.109
44,0.11
45,0.109
46,0.116
47,0.108
48,0.115
49,0.111
50,0.11
51,0.113
52,0.116
53,0.114
54,0.103
55,0.094
56,0.097
57,0.112
58,0.111
59,0.096
60,0.098
61,0.11
62,0.109
63,0.112
64,0.111
65,0.132
66,0.106
67,0.109
68,0.116
69,0.133
70,0.103
71,0.097
72,0.109
73,0.111
74,0.104
75,0.112
76,0.112
77,0.115
78,0.11
79,0.106
80,0.112
81,0.115
82,0.114
83,0.102
84,0.112
85,0.117
86,0.124
87,0.123
88,0.137
89,0.11
90,0.108
91,0.153
92,0.119
93,0.135
94,0.11
95,0.129
96,0.112
97,0.124
98,0.137
99,0.118
100,0.117
101,0.127
102,0.14
103,0.121
104,0.152
105,0.126
106,0.132
107,0.116
108,0.12
109,0.114
110,0.143
111,0.122
112,0.182
113,0.216
114,0.136
115,0.136
116,0.139
117,0.097
118,0.115
119,0.12
120,0.146
121,0.142
122,0.159
123,0.18
124,0.144
125,0.136
126,0.127
127,0.12
128,0.121
129,0.154
130,0.139
131,0.112
132,0.116
133,0.182
134,0.157
135,0.111
136,0.189
137,0.136
138,0.131
139,0.151
140,0.126
141,0.159
142,0.147
143,0.124
144,0.13
145,0.108
146,0.111
147,0.111
148,0.115
149,0.151
150,0.14
151,0.152
152,0.148
153,0.142
154,0.147
155,0.121
156,0.138
157,0.122
158,0.132
159,0.125
160,0.153
161,0.114
162,0.121
163,0.111
164,0.12
165,0.118
166,0.118
167,0.109
168,0.137
169,0.156
170,0.155
171,0.12
172,0.146
173,0.137
174,0.112
175,0.14
176,0.146
177,0.138
178,0.135
179,0.107
180,0.119
181,0.121
182,0.169
183,0.192
184,0.164
185,0.216
186,0.155
187,0.128
188,0.147
189,0.15
190,0.126
191,0.129
192,0.142
193,0.126
194,0.133
195,0.114
196,0.135
197,0.11
198,0.127
199,0.125
200,0.13
201,0.125
202,0.127
203,0.106
204,0.117
205,0.122
206,0.119
207,0.118
208,0.114
209,0.109
210,0.123
211,0.112
212,0.113
213,0.111
214,0.121
215,0.123
216,0.138
217,0.115
218,0.114
219,0.114
220,0.117
221,0.115
222,0.15
223,0.113
224,0.114
225,0.113
226,0.115
227,0.112
228,0.131
229,0.137
230,0.117
231,0.111
232,0.117
233,0.111
234,0.114
235,0.111
236,0.111
237,0.123
238,0.107
239,0.118
240,0.113
241,0.118
242,0.112
243,0.116
244,0.113
245,0.123
246,0.108
247,0.113
248,0.144
249,0.107
250,0.124
251,0.114
252,0.115
253,0.124
254,0.104
255,0.114
256,0.113
257,0.133
