Iteration,Time (s)
1,0.003
2,0.003
3,0.003
4,0.003
5,0.003
6,0.003
7,0.003
8,0.002
9,0.002
10,0.003
11,0.003
12,0.003
13,0.002
14,0.002
15,0.002
16,0.002
17,0.003
18,0.003
19,0.003
20,0.003
21,0.003
22,0.003
23,0.003
24,0.003
25,0.004
26,0.003
27,0.003
28,0.003
29,0.002
30,0.003
31,0.002
32,0.002
33,0.003
34,0.003
35,0.003
36,0.003
37,0.003
38,0.003
39,0.003
40,0.003
41,0.002
42,0.003
43,0.002
44,0.002
45,0.002
46,0.003
47,0.002
48,0.003
49,0.003
50,0.003
51,0.002
52,0.002
53,0.002
54,0.002
55,0.003
56,0.002
57,0.002
58,0.002
59,0.002
60,0.003
61,0.002
62,0.002
63,0.002
64,0.002
65,0.002
66,0.002
67,0.002
68,0.002
69,0.002
70,0.002
71,0.003
72,0.002
73,0.003
74,0.003
75,0.002
76,0.002
77,0.002
78,0.002
79,0.002
80,0.002
81,0.002
82,0.003
83,0.002
84,0.002
85,0.002
86,0.003
87,0.003
88,0.003
89,0.003
90,0.004
91,0.004
92,0.004
93,0.002
94,0.004
95,0.004
96,0.004
97,0.005
98,0.003
99,0.003
100,0.004
101,0.004
102,0.003
103,0.003
104,0.004
105,0.003
106,0.004
107,0.003
108,0.004
109,0.004
110,0.004
111,0.004
112,0.003
113,0.004
114,0.004
115,0.004
116,0.003
117,0.002
118,0.003
119,0.003
120,0.004
121,0.007
122,0.004
123,0.003
124,0.003
125,0.002
126,0.003
127,0.002
128,0.003
129,0.002
130,0.002
131,0.01
132,0.002
133,0.004
134,0.003
135,0.003
136,0.002
137,0.002
138,0.003
139,0.002
140,0.003
141,0.003
142,0.004
143,0.003
144,0.003
145,0.003
146,0.004
147,0.016
148,0.005
149,0.005
150,0.004
151,0.005
152,0.004
153,0.004
154,0.003
155,0.003
156,0.004
157,0.004
158,0.003
159,0.005
160,0.003
161,0.003
162,0.003
163,0.003
164,0.003
165,0.003
166,0.003
167,0.003
168,0.005
169,0.003
170,0.005
171,0.003
172,0.004
173,0.003
174,0.003
175,0.006
176,0.004
177,0.005
178,0.003
179,0.003
180,0.003
181,0.003
182,0.004
183,0.005
184,0.004
185,0.002
186,0.004
187,0.005
188,0.005
189,0.004
190,0.003
191,0.004
192,0.003
193,0.005
194,0.003
195,0.003
196,0.003
197,0.006
198,0.009
199,0.005
200,0.004
201,0.005
202,0.003
203,0.003
204,0.003
205,0.004
206,0.004
207,0.004
208,0.003
209,0.003
210,0.003
211,0.003
212,0.003
213,0.004
214,0.003
215,0.003
216,0.003
217,0.005
218,0.004
219,0.003
220,0.004
221,0.003
222,0.004
223,0.003
224,0.004
225,0.003
226,0.015
227,0.003
228,0.005
229,0.003
230,0.004
231,0.003
232,0.005
233,0.003
234,0.003
235,0.003
236,0.004
237,0.003
238,0.003
239,0.003
240,0.003
241,0.002
242,0.003
243,0.003
244,0.003
245,0.003
246,0.003
247,0.002
248,0.003
249,0.003
250,0.003
251,0.004
252,0.003
253,0.011
254,0.003
255,0.003
256,0.003
257,0.003
258,0.003
259,0.003
260,0.003
261,0.002
262,0.003
263,0.003
264,0.002
265,0.003
266,0.004
267,0.003
268,0.003
269,0.003
270,0.003
271,0.003
272,0.002
273,0.003
274,0.003
275,0.003
276,0.017
277,0.003
278,0.003
279,0.003
280,0.002
281,0.003
282,0.003
283,0.003
284,0.003
285,0.004
286,0.003
287,0.003
288,0.003
289,0.003
290,0.003
291,0.003
292,0.003
293,0.003
294,0.003
295,0.002
296,0.003
297,0.003
298,0.003
299,0.002
300,0.003
301,0.003
302,0.003
303,0.003
304,0.004
305,0.003
306,0.004
307,0.003
308,0.003
309,0.004
310,0.003
311,0.003
312,0.003
313,0.003
314,0.003
315,0.003
316,0.003
317,0.005
318,0.003
319,0.003
320,0.003
321,0.003
322,0.003
323,0.003
324,0.003
325,0.003
326,0.003
327,0.003
328,0.003
329,0.003
330,0.003
331,0.004
332,0.003
333,0.003
334,0.003
335,0.003
336,0.004
337,0.003
338,0.003
339,0.004
340,0.003
341,0.003
342,0.003
343,0.004
344,0.004
345,0.004
346,0.004
347,0.003
348,0.003
349,0.003
350,0.004
351,0.004
352,0.004
353,0.003
354,0.003
355,0.003
356,0.003
357,0.004
358,0.003
359,0.002
360,0.003
361,0.003
362,0.003
363,0.002
364,0.003
365,0.003
366,0.002
367,0.003
368,0.003
369,0.003
370,0.002
371,0.003
372,0.003
373,0.003
374,0.003
375,0.003
376,0.003
377,0.003
378,0.003
379,0.003
380,0.003
381,0.003
382,0.003
383,0.003
384,0.003
385,0.002
386,0.003
