Iteration,Time (s)
1,0.068
2,0.077
3,0.066
4,0.072
5,0.069
6,0.067
7,0.068
8,0.063
9,0.064
10,0.079
11,0.083
12,0.074
13,0.07
14,0.066
15,0.066
16,0.062
17,0.093
18,0.074
19,0.071
20,0.066
21,0.067
22,0.067
23,0.079
24,0.082
25,0.082
26,0.074
27,0.079
28,0.085
29,0.063
30,0.076
31,0.068
32,0.074
33,0.072
34,0.071
35,0.076
36,0.075
37,0.078
38,0.087
39,0.078
40,0.074
41,0.062
42,0.069
43,0.062
44,0.066
45,0.064
46,0.064
47,0.064
48,0.063
49,0.066
50,0.066
51,0.061
52,0.061
53,0.066
54,0.081
55,0.083
56,0.062
57,0.061
58,0.067
59,0.078
60,0.08
61,0.061
62,0.065
63,0.062
64,0.068
65,0.061
66,0.067
67,0.066
68,0.063
69,0.071
70,0.074
71,0.073
72,0.063
73,0.065
74,0.066
75,0.067
76,0.068
77,0.062
78,0.065
79,0.07
80,0.065
81,0.064
82,0.089
83,0.063
84,0.062
85,0.077
86,0.081
87,0.081
88,0.094
89,0.074
90,0.083
91,0.115
92,0.077
93,0.078
94,0.073
95,0.086
96,0.066
97,0.083
98,0.122
99,0.097
100,0.081
101,0.097
102,0.096
103,0.086
104,0.114
105,0.085
106,0.101
107,0.1
108,0.079
109,0.093
110,0.095
111,0.104
112,0.143
113,0.112
114,0.112
115,0.09
116,0.101
117,0.071
118,0.068
119,0.066
120,0.105
121,0.113
122,0.109
123,0.121
124,0.09
125,0.069
126,0.071
127,0.081
128,0.083
129,0.075
130,0.069
131,0.079
132,0.073
133,0.097
134,0.098
135,0.091
136,0.113
137,0.076
138,0.08
139,0.079
140,0.077
141,0.098
142,0.097
143,0.084
144,0.079
145,0.067
146,0.064
147,0.067
148,0.088
149,0.126
150,0.11
151,0.106
152,0.102
153,0.104
154,0.094
155,0.089
156,0.126
157,0.099
158,0.101
159,0.101
160,0.093
161,0.088
162,0.085
163,0.075
164,0.075
165,0.08
166,0.074
167,0.07
168,0.103
169,0.124
170,0.12
171,0.085
172,0.114
173,0.089
174,0.081
175,0.125
176,0.1
177,0.102
178,0.099
179,0.073
180,0.073
181,0.072
182,0.124
183,0.115
184,0.148
185,0.084
186,0.088
187,0.116
188,0.116
189,0.105
190,0.101
191,0.087
192,0.107
193,0.1
194,0.095
195,0.086
196,0.092
197,0.078
198,0.093
199,0.084
200,0.087
201,0.095
202,0.092
203,0.072
204,0.079
205,0.082
206,0.08
207,0.08
208,0.071
209,0.082
210,0.078
211,0.072
212,0.073
213,0.077
214,0.083
215,0.083
216,0.074
217,0.083
218,0.073
219,0.072
220,0.069
221,0.072
222,0.078
223,0.074
224,0.074
225,0.073
226,0.068
227,0.075
228,0.096
229,0.089
230,0.08
231,0.077
232,0.079
233,0.071
234,0.067
235,0.074
236,0.071
237,0.071
238,0.066
239,0.068
240,0.07
241,0.069
242,0.073
243,0.068
244,0.081
245,0.076
246,0.071
247,0.071
248,0.075
249,0.071
250,0.071
251,0.068
252,0.075
253,0.075
254,0.073
255,0.064
256,0.066
257,0.072
258,0.073
259,0.069
260,0.077
261,0.067
262,0.066
263,0.066
264,0.07
265,0.069
266,0.071
267,0.067
268,0.074
269,0.073
270,0.078
271,0.07
272,0.068
273,0.072
274,0.076
275,0.069
276,0.082
277,0.074
278,0.067
279,0.074
280,0.067
281,0.069
282,0.073
283,0.069
284,0.072
285,0.071
286,0.069
287,0.072
288,0.088
289,0.066
290,0.101
291,0.079
292,0.075
293,0.07
294,0.067
295,0.066
296,0.07
297,0.069
298,0.074
299,0.066
300,0.075
301,0.07
302,0.075
303,0.073
304,0.075
305,0.073
306,0.09
307,0.071
308,0.07
309,0.075
310,0.074
311,0.071
312,0.068
313,0.079
314,0.071
315,0.066
316,0.074
317,0.072
318,0.078
319,0.089
320,0.068
321,0.07
322,0.082
323,0.072
324,0.069
325,0.064
326,0.073
327,0.076
328,0.074
329,0.073
330,0.075
331,0.07
332,0.074
333,0.068
334,0.067
335,0.077
336,0.091
337,0.072
338,0.075
339,0.072
340,0.074
341,0.081
342,0.073
343,0.067
344,0.073
345,0.087
346,0.074
347,0.074
348,0.069
349,0.073
350,0.078
351,0.068
352,0.076
353,0.075
354,0.062
355,0.073
356,0.073
357,0.068
358,0.072
359,0.065
360,0.071
361,0.07
362,0.075
363,0.079
364,0.068
365,0.069
366,0.074
367,0.074
368,0.069
369,0.065
370,0.064
371,0.073
372,0.069
373,0.072
374,0.074
375,0.069
376,0.074
377,0.08
378,0.073
379,0.069
380,0.073
381,0.072
382,0.072
383,0.07
384,0.074
385,0.068
386,0.073
387,0.071
388,0.068
389,0.071
390,0.071
391,0.078
392,0.075
393,0.073
394,0.071
395,0.094
396,0.07
397,0.069
398,0.067
399,0.076
400,0.068
401,0.07
402,0.067
403,0.068
404,0.071
405,0.069
406,0.074
407,0.063
408,0.072
409,0.068
410,0.066
411,0.069
412,0.07
413,0.074
414,0.073
415,0.072
416,0.076
417,0.077
418,0.073
419,0.073
420,0.079
421,0.077
422,0.072
423,0.07
424,0.066
425,0.07
426,0.075
427,0.073
428,0.079
429,0.069
430,0.067
431,0.071
432,0.066
433,0.072
434,0.084
435,0.078
436,0.069
437,0.071
438,0.091
439,0.091
440,0.089
441,0.089
442,0.109
443,0.088
444,0.069
445,0.079
446,0.066
447,0.089
448,0.094
449,0.07
450,0.075
451,0.09
452,0.074
453,0.072
454,0.071
455,0.072
456,0.071
457,0.09
458,0.066
459,0.07
460,0.075
461,0.071
462,0.07
463,0.071
464,0.072
465,0.094
466,0.081
467,0.071
468,0.074
469,0.07
470,0.1
471,0.074
472,0.072
473,0.07
474,0.07
475,0.064
476,0.068
477,0.077
478,0.078
479,0.074
480,0.064
481,0.072
482,0.075
483,0.13
484,0.091
485,0.101
486,0.085
487,0.095
488,0.075
489,0.069
490,0.066
491,0.075
492,0.063
493,0.063
494,0.07
495,0.068
496,0.069
497,0.063
498,0.067
499,0.066
500,0.063
501,0.071
502,0.076
503,0.064
504,0.066
505,0.081
506,0.068
507,0.065
508,0.065
509,0.071
510,0.094
511,0.064
512,0.065
513,0.063
514,0.064
515,0.063
516,0.065
517,0.062
518,0.065
519,0.067
520,0.064
521,0.062
522,0.06
523,0.063
524,0.066
525,0.063
526,0.067
527,0.066
528,0.066
529,0.063
530,0.064
531,0.064
532,0.066
533,0.065
534,0.066
535,0.063
536,0.059
537,0.061
538,0.071
539,0.079
540,0.075
541,0.063
542,0.062
543,0.066
544,0.062
545,0.067
546,0.063
547,0.064
548,0.063
549,0.066
550,0.063
551,0.062
552,0.073
553,0.095
554,0.063
555,0.063
556,0.062
557,0.065
558,0.064
559,0.066
560,0.08
561,0.081
562,0.079
563,0.076
564,0.084
565,0.063
566,0.061
567,0.065
568,0.063
569,0.063
570,0.071
571,0.067
572,0.067
573,0.064
574,0.065
575,0.063
576,0.062
577,0.066
578,0.065
579,0.064
580,0.068
581,0.063
582,0.066
583,0.062
584,0.071
585,0.064
586,0.064
587,0.063
588,0.087
589,0.062
590,0.068
591,0.068
592,0.065
593,0.063
594,0.069
595,0.066
596,0.066
597,0.066
598,0.066
599,0.065
600,0.063
601,0.061
602,0.063
603,0.066
604,0.063
605,0.063
606,0.068
607,0.063
608,0.062
609,0.068
610,0.061
611,0.064
612,0.062
613,0.062
614,0.062
615,0.064
616,0.076
617,0.061
