Iteration,Time (s)
1,0.294
2,0.022
3,0.012
4,0.01
5,0.01
6,0.006
7,0.008
8,0.008
9,0.007
10,0.005
11,0.006
12,0.006
13,0.007
14,0.006
15,0.008
16,0.01
17,0.005
18,0.007
19,0.005
20,0.005
21,0.004
22,0.009
23,0.006
24,0.006
25,0.006
26,0.006
27,0.006
28,0.005
29,0.006
30,0.005
31,0.007
32,0.006
33,0.004
34,0.005
35,0.006
36,0.006
37,0.008
38,0.01
39,0.011
40,0.007
41,0.009
42,0.006
43,0.008
44,0.007
45,0.005
46,0.006
47,0.008
48,0.012
49,0.007
50,0.013
51,0.016
52,0.013
53,0.006
54,0.012
55,0.008
56,0.006
57,0.012
58,0.008
59,0.01
60,0.01
61,0.008
62,0.007
63,0.008
64,0.02
65,0.013
66,0.015
67,0.01
68,0.011
69,0.011
70,0.007
71,0.009
72,0.007
73,0.006
74,0.006
75,0.007
76,0.008
77,0.012
78,0.005
79,0.01
80,0.011
81,0.007
82,0.005
83,0.007
84,0.005
85,0.006
86,0.006
87,0.005
88,0.007
89,0.009
90,0.004
91,0.006
92,0.015
93,0.009
94,0.007
95,0.006
96,0.005
97,0.006
98,0.005
99,0.007
100,0.006
101,0.007
102,0.011
103,0.006
104,0.01
105,0.009
106,0.007
107,0.008
108,0.009
109,0.006
110,0.006
111,0.007
112,0.006
113,0.005
114,0.008
115,0.007
116,0.006
117,0.011
118,0.008
119,0.01
120,0.006
121,0.01
122,0.006
123,0.007
124,0.006
125,0.009
126,0.007
127,0.006
128,0.006
129,0.007
130,0.009
131,0.015
132,0.007
133,0.012
134,0.012
135,0.008
136,0.007
137,0.006
138,0.005
139,0.007
140,0.01
141,0.006
142,0.008
143,0.009
144,0.007
145,0.007
146,0.007
147,0.01
148,0.005
149,0.005
150,0.008
151,0.009
152,0.014
153,0.007
154,0.009
155,0.007
156,0.007
157,0.009
158,0.006
159,0.005
160,0.01
161,0.009
162,0.008
163,0.006
164,0.007
165,0.008
166,0.006
167,0.005
168,0.011
169,0.009
170,0.005
171,0.008
172,0.009
173,0.007
174,0.007
175,0.006
176,0.007
177,0.007
178,0.006
179,0.005
180,0.006
181,0.005
182,0.005
183,0.007
184,0.004
185,0.006
186,0.006
187,0.007
188,0.009
189,0.012
190,0.008
191,0.01
192,0.008
193,0.007
194,0.004
195,0.005
196,0.008
197,0.006
198,0.011
199,0.009
200,0.006
201,0.009
202,0.009
203,0.015
204,0.056
205,0.007
206,0.008
207,0.008
208,0.01
209,0.01
210,0.006
211,0.006
212,0.011
213,0.009
214,0.007
215,0.008
216,0.008
217,0.01
218,0.016
219,0.006
220,0.01
221,0.009
222,0.008
223,0.009
224,0.008
225,0.007
226,0.007
227,0.007
228,0.01
229,0.005
230,0.005
231,0.009
232,0.008
233,0.011
234,0.01
235,0.024
236,0.009
237,0.007
238,0.011
239,0.014
240,0.01
241,0.009
242,0.013
243,0.009
244,0.009
245,0.011
246,0.012
247,0.007
248,0.008
249,0.01
250,0.01
251,0.007
252,0.008
253,0.006
254,0.011
255,0.013
256,0.011
257,0.008
258,0.009
259,0.008
260,0.008
261,0.008
262,0.008
263,0.009
264,0.009
265,0.006
266,0.008
267,0.012
268,0.007
269,0.011
270,0.01
271,0.008
272,0.009
273,0.012
274,0.008
275,0.009
276,0.006
277,0.008
278,0.009
279,0.009
280,0.012
281,0.01
282,0.011
283,0.009
284,0.012
285,0.006
286,0.01
287,0.009
288,0.015
289,0.011
290,0.013
291,0.011
292,0.011
293,0.009
294,0.009
295,0.007
296,0.009
297,0.009
298,0.006
299,0.006
300,0.009
301,0.009
302,0.01
303,0.011
304,0.008
305,0.008
306,0.014
307,0.008
308,0.007
309,0.009
310,0.005
311,0.011
312,0.008
313,0.007
314,0.01
315,0.006
316,0.01
317,0.007
318,0.008
319,0.01
320,0.009
321,0.011
322,0.009
323,0.011
324,0.007
325,0.01
326,0.007
327,0.012
328,0.012
329,0.007
330,0.009
331,0.009
332,0.006
333,0.008
334,0.008
335,0.009
336,0.01
337,0.012
338,0.01
339,0.012
340,0.009
341,0.007
342,0.012
343,0.011
344,0.007
345,0.011
346,0.009
347,0.01
348,0.007
349,0.007
350,0.012
351,0.014
352,0.006
353,0.009
354,0.01
355,0.008
356,0.009
357,0.007
358,0.01
359,0.008
360,0.007
361,0.008
362,0.013
363,0.008
364,0.01
365,0.008
366,0.008
367,0.005
368,0.006
369,0.006
370,0.011
371,0.007
372,0.012
373,0.01
374,0.012
375,0.009
376,0.009
377,0.007
378,0.008
379,0.007
380,0.008
381,0.008
382,0.006
383,0.008
384,0.011
385,0.007
386,0.011
387,0.007
388,0.005
389,0.012
390,0.011
391,0.009
392,0.009
393,0.008
394,0.008
395,0.006
396,0.005
397,0.005
398,0.007
399,0.009
400,0.006
401,0.004
402,0.009
403,0.008
404,0.009
405,0.012
406,0.006
407,0.011
408,0.009
409,0.008
410,0.01
411,0.008
412,0.009
413,0.009
414,0.009
415,0.014
416,0.01
417,0.008
418,0.013
419,0.009
420,0.009
421,0.008
422,0.009
423,0.007
424,0.008
425,0.01
426,0.009
427,0.008
428,0.011
429,0.007
430,0.012
431,0.009
432,0.008
433,0.013
434,0.007
435,0.013
436,0.012
437,0.009
438,0.008
439,0.01
440,0.009
441,0.005
442,0.011
443,0.007
444,0.008
445,0.011
446,0.011
447,0.01
448,0.007
449,0.009
450,0.01
451,0.006
452,0.008
453,0.017
454,0.01
455,0.006
456,0.005
457,0.012
458,0.01
459,0.01
460,0.01
461,0.006
462,0.009
463,0.008
464,0.013
465,0.009
466,0.007
467,0.008
468,0.009
469,0.007
470,0.011
471,0.01
472,0.009
473,0.008
474,0.007
475,0.008
476,0.01
477,0.009
478,0.008
479,0.008
480,0.014
481,0.013
482,0.008
483,0.006
484,0.014
485,0.009
486,0.007
487,0.007
488,0.01
489,0.006
490,0.007
491,0.012
492,0.009
493,0.007
494,0.009
495,0.008
496,0.008
497,0.008
498,0.008
499,0.009
500,0.009
501,0.01
502,0.007
503,0.009
504,0.009
505,0.012
506,0.012
507,0.006
508,0.007
509,0.014
510,0.006
511,0.01
512,0.008
513,0.009
514,0.01
515,0.006
516,0.007
517,0.006
518,0.009
519,0.007
520,0.007
521,0.007
522,0.007
523,0.007
524,0.006
525,0.006
526,0.009
527,0.009
528,0.006
529,0.01
530,0.008
531,0.012
532,0.012
533,0.008
534,0.008
535,0.014
536,0.008
537,0.008
538,0.005
539,0.006
540,0.007
541,0.008
542,0.012
543,0.006
544,0.008
545,0.012
546,0.012
547,0.006
548,0.012
549,0.008
550,0.008
551,0.01
552,0.008
553,0.007
554,0.008
555,0.007
556,0.008
557,0.008
558,0.007
559,0.01
560,0.007
561,0.012
562,0.007
563,0.01
564,0.01
565,0.007
566,0.007
567,0.009
568,0.009
569,0.006
570,0.008
571,0.011
572,0.006
573,0.007
574,0.008
575,0.013
576,0.01
577,0.009
578,0.008
579,0.009
580,0.01
581,0.01
582,0.014
583,0.009
584,0.008
585,0.006
586,0.017
587,0.007
588,0.01
589,0.008
590,0.006
591,0.006
592,0.005
593,0.007
594,0.008
595,0.009
596,0.005
597,0.007
598,0.01
599,0.014
600,0.01
601,0.008
602,0.008
603,0.006
604,0.012
605,0.009
606,0.008
607,0.009
608,0.013
609,0.011
610,0.01
611,0.007
612,0.007
613,0.012
614,0.01
615,0.006
616,0.012
617,0.007
618,0.007
619,0.014
620,0.006
621,0.016
622,0.009
623,0.005
624,0.004
625,0.007
626,0.01
627,0.01
628,0.008
629,0.007
630,0.012
631,0.01
632,0.009
633,0.01
634,0.012
635,0.009
636,0.005
637,0.006
638,0.01
639,0.01
640,0.005
641,0.007
642,0.007
643,0.006
644,0.004
645,0.006
646,0.009
647,0.01
648,0.005
649,0.006
650,0.006
651,0.006
652,0.005
653,0.006
654,0.006
655,0.005
656,0.005
657,0.009
658,0.01
659,0.007
660,0.006
661,0.006
662,0.009
663,0.009
664,0.008
665,0.006
666,0.006
667,0.006
668,0.005
669,0.009
670,0.007
671,0.009
672,0.006
673,0.005
674,0.006
675,0.009
676,0.008
677,0.004
678,0.006
679,0.008
680,0.007
681,0.006
682,0.007
683,0.006
684,0.008
685,0.007
686,0.006
687,0.007
688,0.006
689,0.008
690,0.004
691,0.007
692,0.005
693,0.008
694,0.007
695,0.005
696,0.007
697,0.005
698,0.006
699,0.006
700,0.009
701,0.008
702,0.006
703,0.007
704,0.005
705,0.009
706,0.01
707,0.008
708,0.006
709,0.008
710,0.007
711,0.008
712,0.005
713,0.007
714,0.008
715,0.007
716,0.011
717,0.007
718,0.005
719,0.007
720,0.008
721,0.005
722,0.01
723,0.007
724,0.006
725,0.007
726,0.005
727,0.005
728,0.013
729,0.008
730,0.007
731,0.008
732,0.01
733,0.007
734,0.007
735,0.01
736,0.006
737,0.007
738,0.005
739,0.006
740,0.005
741,0.004
742,0.008
743,0.006
744,0.005
745,0.007
746,0.007
747,0.01
748,0.005
749,0.006
750,0.007
751,0.01
752,0.006
753,0.01
754,0.009
755,0.009
756,0.006
757,0.01
758,0.007
759,0.006
760,0.008
761,0.005
762,0.006
763,0.005
764,0.006
765,0.005
766,0.005
767,0.005
768,0.007
769,0.005
770,0.006
771,0.01
772,0.006
773,0.006
774,0.007
775,0.009
776,0.005
777,0.008
778,0.005
779,0.006
780,0.007
781,0.008
782,0.009
783,0.007
784,0.008
785,0.006
786,0.004
787,0.008
788,0.005
789,0.005
790,0.006
791,0.005
792,0.008
793,0.01
794,0.006
795,0.005
796,0.004
797,0.005
798,0.007
799,0.005
800,0.007
801,0.005
802,0.005
803,0.007
804,0.006
805,0.006
806,0.008
807,0.007
808,0.007
809,0.006
810,0.007
811,0.006
812,0.008
813,0.006
814,0.006
815,0.006
816,0.009
817,0.006
818,0.006
819,0.008
820,0.006
821,0.006
822,0.005
823,0.006
824,0.006
825,0.008
826,0.007
827,0.005
828,0.01
829,0.009
830,0.007
831,0.006
832,0.006
833,0.008
834,0.005
835,0.006
836,0.007
837,0.004
838,0.006
839,0.008
840,0.005
841,0.007
842,0.008
843,0.006
844,0.005
845,0.006
846,0.007
847,0.005
848,0.007
849,0.005
850,0.006
851,0.005
852,0.005
853,0.004
854,0.007
855,0.005
856,0.005
857,0.005
858,0.01
859,0.007
860,0.004
861,0.005
862,0.006
863,0.005
864,0.008
865,0.004
866,0.005
867,0.007
868,0.007
869,0.009
870,0.008
871,0.006
