Iteration,Time (s)
1,6.7
2,0.556
3,0.505
4,0.502
5,0.521
6,0.505
7,0.524
8,0.51
9,0.589
10,0.557
11,0.54
12,0.489
13,0.533
14,0.489
15,0.51
16,0.494
17,0.516
18,0.507
19,0.548
20,0.539
21,0.517
22,0.884
23,0.51
24,0.501
25,0.514
26,0.67
27,0.518
28,0.547
29,0.517
30,0.555
31,0.508
32,0.541
33,0.507
34,0.588
35,0.532
36,0.551
37,0.549
38,0.513
39,0.516
40,0.516
41,0.527
42,0.547
43,0.53
44,0.535
45,0.514
46,0.538
47,0.503
48,0.552
49,0.522
50,0.53
51,0.509
52,0.535
53,0.504
54,0.524
55,0.541
56,0.513
57,0.529
58,0.51
59,0.534
60,0.523
61,0.526
62,0.537
63,0.542
64,0.531
65,0.537
66,0.523
67,0.502
68,0.543
69,0.521
70,0.55
71,0.538
72,0.54
73,0.549
74,0.509
75,0.549
76,0.539
77,0.523
78,0.523
79,0.52
80,0.553
81,0.528
82,0.512
83,0.517
84,0.542
85,0.526
86,0.544
87,0.502
88,0.525
89,0.509
90,0.546
91,0.521
92,0.572
93,0.522
94,0.515
95,0.52
96,0.556
97,0.528
98,0.512
99,0.548
100,0.494
101,0.52
102,0.5
103,0.539
104,0.568
105,0.527
106,0.538
107,0.527
108,0.543
109,0.51
110,0.543
111,0.518
112,0.515
113,0.543
114,0.547
115,0.532
116,0.54
117,0.53
118,0.523
119,0.565
120,0.498
121,0.557
122,0.53
123,0.571
124,0.566
125,0.543
126,0.673
127,0.706
128,0.609
129,0.623
130,0.571
131,0.573
132,0.526
133,0.499
134,0.563
135,0.553
136,0.6
137,0.589
138,0.562
139,0.579
140,0.631
141,0.545
142,0.929
143,0.544
144,0.724
145,1.273
146,0.741
147,0.685
148,0.733
149,0.648
150,0.627
151,0.606
152,0.628
153,0.637
154,0.604
155,0.634
156,0.617
157,0.637
158,0.57
159,0.585
160,0.628
161,0.527
162,0.547
163,0.572
164,0.555
165,0.539
166,0.549
167,0.613
168,0.478
169,0.625
170,0.595
171,0.607
172,0.641
173,0.8
174,0.578
175,0.564
176,0.567
177,0.53
178,0.645
179,0.834
180,0.585
181,0.591
182,0.63
183,0.551
184,0.529
185,0.668
186,0.622
187,0.53
188,0.531
189,0.528
190,0.59
191,0.504
192,0.553
193,0.506
194,0.536
195,0.489
196,0.612
197,0.556
198,0.572
199,0.564
200,0.676
201,0.576
202,0.536
203,0.668
204,0.594
205,0.601
206,0.599
207,0.558
208,0.607
209,0.571
210,0.573
211,0.545
212,0.592
213,0.56
214,0.566
215,0.551
216,0.612
217,0.668
218,0.569
219,0.593
220,0.606
221,0.497
222,0.514
223,0.508
224,0.545
225,0.548
226,0.515
227,0.505
228,0.511
229,0.555
230,0.635
231,0.599
232,0.67
233,0.509
234,0.654
235,0.51
236,0.575
237,0.581
238,0.59
239,0.561
240,0.546
241,0.55
242,0.579
243,0.571
244,0.657
245,0.6
246,0.503
247,0.5
248,0.556
249,0.7
250,0.574
251,0.587
252,0.574
253,0.583
254,0.529
255,0.561
256,0.507
257,0.533
258,0.5
259,0.548
260,0.523
261,0.627
262,0.568
263,0.577
264,0.602
265,0.523
266,0.513
267,0.543
268,0.497
269,0.536
270,0.525
271,0.526
272,0.521
273,0.516
274,0.485
275,0.584
276,0.493
277,0.541
278,0.587
279,0.524
280,0.62
281,0.518
282,0.478
283,0.525
284,0.551
285,0.565
286,0.591
287,0.549
288,0.545
289,0.545
290,0.539
291,0.523
292,0.576
293,0.562
294,0.487
295,0.512
296,0.468
297,0.489
298,0.488
299,0.558
300,0.511
301,0.501
302,0.578
303,0.579
304,0.605
305,0.524
306,0.487
307,0.499
308,0.489
309,0.493
310,0.701
311,0.51
312,0.466
313,0.476
314,0.468
315,0.508
316,0.502
317,0.492
318,0.535
319,0.529
320,0.481
321,0.521
322,0.53
323,0.484
324,0.517
325,0.609
326,0.477
327,0.574
328,0.614
329,0.53
330,0.508
