Iteration,Time (s)
1,0.552
2,0.534
3,0.555
4,0.582
5,0.742
6,0.593
7,0.707
8,0.687
9,0.695
10,0.548
11,0.582
12,0.57
13,0.52
14,0.52
15,0.569
16,0.475
17,0.53
18,0.54
19,0.522
20,0.587
21,0.494
22,0.533
23,0.676
24,0.59
25,0.489
26,0.62
27,0.547
28,0.555
29,0.455
30,0.501
31,0.445
32,0.474
33,0.487
34,0.559
35,0.573
36,0.537
37,0.536
38,0.538
39,0.536
40,0.54
41,0.552
42,0.539
43,0.528
44,0.62
45,0.561
46,0.487
47,0.519
48,0.49
49,0.485
50,0.469
51,0.469
52,0.438
53,0.482
54,0.451
55,0.482
56,0.478
57,0.468
58,0.428
59,0.484
60,0.479
61,0.472
62,0.47
63,0.474
64,0.475
65,0.455
66,0.519
67,0.539
68,0.536
69,0.537
70,0.538
71,0.605
72,0.587
73,0.544
74,0.551
75,0.553
76,0.529
77,0.542
78,0.502
79,0.466
80,0.448
81,0.456
82,0.484
83,0.443
84,0.45
85,0.46
86,0.477
87,0.471
88,0.452
89,0.424
90,0.47
91,0.459
92,0.47
93,0.466
94,0.491
95,0.447
96,0.476
97,0.424
98,0.533
99,0.611
100,0.544
101,0.534
102,0.539
103,0.515
104,0.533
105,0.531
106,0.533
107,0.529
108,0.542
109,0.534
110,0.505
111,0.447
112,0.461
113,0.481
114,0.457
115,0.434
116,0.425
117,0.486
118,0.44
119,0.477
120,0.447
121,0.498
122,0.456
123,0.441
124,0.5
125,0.455
126,0.485
127,0.454
128,0.463
129,0.471
130,0.536
131,0.533
132,0.526
133,0.545
134,0.53
135,0.518
136,0.534
137,0.54
138,0.54
139,0.53
140,0.624
141,0.546
142,0.521
143,0.437
144,0.486
145,0.447
146,0.469
147,0.442
148,0.459
149,0.456
150,0.47
151,0.452
152,0.469
153,0.478
154,0.455
155,0.421
156,0.49
157,0.439
158,0.48
159,0.447
160,0.484
161,0.448
162,0.509
163,0.534
164,0.529
165,0.517
166,0.528
167,0.53
168,0.609
169,0.539
170,0.544
171,0.551
172,0.537
173,0.532
174,0.537
175,0.499
176,0.439
177,0.477
178,0.442
179,0.463
180,0.442
181,0.464
182,0.463
183,0.485
184,0.457
185,0.461
186,0.478
187,0.428
188,0.467
189,0.485
190,0.441
191,0.477
192,0.456
193,0.468
194,0.432
195,0.538
196,0.593
197,0.539
198,0.553
199,0.541
200,0.538
201,0.52
202,0.526
203,0.537
204,0.528
205,0.531
206,0.526
207,0.531
208,0.384
209,0.515
210,0.413
211,0.48
212,0.442
213,0.485
214,0.532
215,0.53
216,0.524
217,0.531
218,0.462
219,0.458
220,0.475
221,0.465
222,0.443
223,0.471
224,0.563
225,0.532
226,0.522
227,0.533
228,0.522
229,0.538
230,0.534
231,0.484
232,0.47
233,0.491
234,0.384
235,0.458
236,0.508
237,0.449
238,0.562
239,0.536
240,0.579
241,0.566
242,0.578
243,0.586
244,0.578
245,0.578
246,0.609
247,0.527
248,0.335
249,0.58
250,0.486
251,0.495
252,0.515
253,0.46
254,0.507
255,0.495
256,0.517
257,0.5
258,0.525
259,0.491
260,0.446
261,0.537
262,0.481
263,0.523
264,0.492
265,0.519
266,0.476
267,0.562
268,0.581
269,0.574
270,0.581
271,0.57
272,0.58
273,0.571
274,0.618
275,0.587
276,0.7
277,0.586
278,0.59
279,0.583
280,0.531
281,0.461
282,0.507
283,0.474
284,0.499
285,0.475
286,0.478
287,0.527
288,0.463
289,0.52
290,0.469
291,0.519
292,0.47
293,0.489
294,0.565
295,0.496
296,0.527
297,0.498
298,0.503
299,0.481
300,0.645
301,0.647
302,0.695
303,0.558
304,0.548
305,0.545
306,0.529
307,0.54
308,0.536
309,0.529
310,0.531
311,0.523
312,0.518
313,0.467
314,0.47
315,0.475
316,0.442
317,0.462
318,0.482
319,0.42
320,0.477
321,0.451
322,0.447
323,0.468
324,0.389
325,0.45
326,0.419
327,0.45
328,0.451
329,0.453
330,0.48
331,0.512
332,0.408
333,0.524
334,0.521
335,0.535
336,0.534
337,0.514
338,0.531
339,0.535
340,0.529
341,0.529
342,0.518
343,0.584
344,0.56
345,0.518
346,0.398
347,0.485
348,0.449
349,0.48
350,0.446
351,0.452
352,0.465
353,0.455
354,0.465
355,0.454
356,0.473
357,0.454
358,0.436
359,0.465
360,0.441
361,0.481
362,0.423
363,0.453
364,0.419
365,0.52
366,0.52
367,0.529
368,0.526
369,0.525
370,0.524
371,0.589
372,0.535
373,0.525
374,0.533
375,0.529
376,0.514
377,0.506
378,0.413
379,0.501
380,0.448
381,0.472
382,0.436
383,0.476
384,0.465
385,0.477
386,0.472
387,0.433
388,0.457
389,0.462
390,0.408
391,0.481
392,0.445
393,0.478
394,0.448
395,0.449
396,0.525
397,0.528
398,0.52
399,0.525
400,0.54
401,0.524
402,0.529
403,0.526
