Iteration,Time (s)
1,0.061
2,0.067
3,0.064
4,0.064
5,0.07
6,0.066
7,0.057
8,0.066
9,0.065
10,0.065
11,0.065
12,0.066
13,0.067
14,0.065
15,0.064
16,0.063
17,0.065
18,0.064
19,0.066
20,0.066
21,0.078
22,0.065
23,0.064
24,0.064
25,0.068
26,0.066
27,0.072
28,0.067
29,0.066
30,0.067
31,0.065
32,0.067
33,0.066
34,0.065
35,0.069
36,0.066
37,0.068
38,0.066
39,0.064
40,0.065
41,0.072
42,0.065
43,0.057
44,0.068
45,0.065
46,0.065
47,0.101
48,0.065
49,0.065
50,0.066
51,0.065
52,0.066
53,0.064
54,0.063
55,0.066
56,0.065
57,0.065
58,0.067
59,0.068
60,0.066
61,0.071
62,0.067
63,0.067
64,0.066
65,0.065
66,0.067
67,0.063
68,0.067
69,0.064
70,0.07
71,0.065
72,0.068
73,0.067
74,0.064
75,0.065
76,0.065
77,0.076
78,0.064
79,0.076
80,0.065
81,0.064
82,0.066
83,0.066
84,0.064
85,0.065
86,0.066
87,0.066
88,0.065
89,0.064
90,0.074
91,0.066
92,0.065
93,0.069
94,0.066
95,0.065
96,0.07
97,0.067
98,0.067
99,0.064
100,0.065
101,0.069
102,0.064
103,0.066
104,0.067
105,0.066
106,0.066
107,0.065
108,0.064
109,0.065
110,0.059
111,0.07
112,0.058
113,0.065
114,0.065
115,0.065
116,0.066
117,0.067
118,0.065
119,0.083
120,0.069
121,0.071
122,0.066
123,0.066
124,0.066
125,0.067
126,0.073
127,0.073
128,0.071
129,0.07
130,0.067
131,0.067
132,0.065
133,0.066
134,0.066
135,0.077
136,0.069
137,0.067
138,0.068
139,0.069
140,0.058
141,0.147
142,0.067
143,0.067
144,0.224
145,0.075
146,0.078
147,0.076
148,0.067
149,0.071
150,0.066
151,0.065
152,0.073
153,0.067
154,0.069
155,0.069
156,0.084
157,0.067
158,0.081
159,0.071
160,0.067
161,0.071
162,0.066
163,0.067
164,0.065
165,0.066
166,0.06
167,0.081
168,0.068
169,0.068
170,0.065
171,0.066
172,0.071
173,0.07
174,0.067
175,0.065
176,0.065
177,0.069
178,0.067
179,0.067
180,0.059
181,0.07
182,0.066
183,0.066
184,0.096
185,0.064
186,0.066
187,0.067
188,0.07
189,0.075
190,0.065
191,0.065
192,0.067
193,0.065
194,0.067
195,0.065
196,0.068
197,0.069
198,0.066
199,0.084
200,0.082
201,0.066
202,0.066
203,0.068
204,0.068
205,0.067
206,0.067
207,0.068
208,0.071
209,0.065
210,0.072
211,0.067
212,0.066
213,0.078
214,0.072
215,0.069
216,0.068
217,0.06
218,0.069
219,0.062
220,0.072
221,0.066
222,0.072
223,0.064
224,0.067
225,0.085
226,0.063
227,0.067
228,0.071
229,0.065
230,0.065
231,0.064
232,0.064
233,0.071
234,0.065
235,0.068
236,0.067
237,0.07
238,0.066
239,0.067
240,0.073
241,0.066
242,0.059
243,0.068
244,0.06
245,0.072
246,0.064
247,0.066
248,0.073
249,0.075
250,0.065
251,0.064
252,0.069
253,0.065
254,0.072
255,0.066
256,0.066
257,0.064
258,0.065
259,0.063
260,0.069
261,0.067
262,0.065
263,0.066
264,0.065
265,0.064
266,0.066
267,0.064
268,0.066
269,0.063
270,0.064
271,0.071
272,0.063
273,0.069
274,0.066
275,0.065
276,0.065
277,0.066
278,0.065
279,0.066
280,0.065
281,0.068
282,0.069
283,0.066
284,0.069
285,0.067
286,0.068
287,0.067
288,0.07
289,0.065
290,0.066
291,0.066
292,0.066
293,0.058
294,0.063
295,0.065
296,0.065
297,0.064
298,0.066
299,0.063
300,0.064
301,0.064
302,0.064
303,0.08
304,0.064
305,0.063
306,0.064
307,0.066
308,0.064
309,0.083
310,0.065
311,0.071
312,0.062
313,0.065
314,0.057
315,0.069
316,0.068
317,0.064
318,0.065
319,0.064
320,0.063
321,0.065
322,0.066
323,0.064
324,0.066
325,0.066
326,0.072
327,0.065
328,0.149
329,0.066
330,0.065
331,0.063
332,0.065
333,0.069
334,0.064
335,0.066
336,0.066
337,0.064
338,0.065
