Iteration,Time (ms)
1,0.224
2,0.227
3,0.221
4,0.238
5,0.285
6,0.243
7,0.241
8,0.215
9,0.216
10,0.239
11,0.253
12,0.22
13,0.223
14,0.199
15,0.225
16,0.214
17,0.189
18,0.24
19,0.232
20,0.226
21,0.207
22,0.186
23,0.228
24,0.258
25,0.18
26,0.239
27,0.262
28,0.211
29,0.183
30,0.197
31,0.181
32,0.192
33,0.213
34,0.22
35,0.228
36,0.224
37,0.215
38,0.221
39,0.214
40,0.211
41,0.211
42,0.209
43,0.218
44,0.251
45,0.22
46,0.172
47,0.206
48,0.188
49,0.199
50,0.189
51,0.184
52,0.185
53,0.206
54,0.185
55,0.218
56,0.183
57,0.187
58,0.192
59,0.2
60,0.179
61,0.18
62,0.184
63,0.187
64,0.209
65,0.183
66,0.22
67,0.216
68,0.21
69,0.212
70,0.212
71,0.246
72,0.24
73,0.241
74,0.239
75,0.214
76,0.215
77,0.207
78,0.201
79,0.197
80,0.183
81,0.19
82,0.204
83,0.178
84,0.205
85,0.208
86,0.219
87,0.185
88,0.18
89,0.194
90,0.202
91,0.189
92,0.197
93,0.202
94,0.186
95,0.18
96,0.218
97,0.173
98,0.212
99,0.255
100,0.229
101,0.225
102,0.211
103,0.234
104,0.227
105,0.213
106,0.21
107,0.218
108,0.227
109,0.24
110,0.216
111,0.167
112,0.204
113,0.198
114,0.192
115,0.208
116,0.178
117,0.193
118,0.179
119,0.205
120,0.188
121,0.194
122,0.182
123,0.186
124,0.185
125,0.179
126,0.191
127,0.195
128,0.191
129,0.186
130,0.208
131,0.205
132,0.209
133,0.227
134,0.214
135,0.222
136,0.208
137,0.211
138,0.206
139,0.21
140,0.244
141,0.224
142,0.217
143,0.167
144,0.225
145,0.189
146,0.187
147,0.197
148,0.202
149,0.194
150,0.194
151,0.175
152,0.195
153,0.198
154,0.187
155,0.178
156,0.199
157,0.169
158,0.201
159,0.177
160,0.199
161,0.175
162,0.191
163,0.224
164,0.21
165,0.213
166,0.212
167,0.208
168,0.239
169,0.224
170,0.218
171,0.218
172,0.217
173,0.208
174,0.211
175,0.2
176,0.171
177,0.204
178,0.181
179,0.192
180,0.189
181,0.205
182,0.206
183,0.184
184,0.195
185,0.186
186,0.193
187,0.18
188,0.198
189,0.188
190,0.189
191,0.207
192,0.182
193,0.185
194,0.18
195,0.226
196,0.247
197,0.217
198,0.277
199,0.235
200,0.207
201,0.21
202,0.211
203,0.209
204,0.215
205,0.201
206,0.221
207,0.2
208,0.168
209,0.206
210,0.192
211,0.215
212,0.178
213,0.203
214,0.223
