Iteration,Time (s)
1,0.275
2,0.255
3,0.267
4,0.279
5,0.274
6,0.272
7,0.253
8,0.258
9,0.265
10,0.268
11,0.254
12,0.265
13,0.236
14,0.247
15,0.258
16,0.247
17,0.241
18,0.253
19,0.273
20,0.31
21,0.257
22,0.252
23,0.24
24,0.285
25,0.254
26,0.283
27,0.261
28,0.249
29,0.233
30,0.249
31,0.24
32,0.242
33,0.242
34,0.247
35,0.275
36,0.271
37,0.268
38,0.253
39,0.258
40,0.265
41,0.261
42,0.245
43,0.254
44,0.24
45,0.259
46,0.248
47,0.263
48,0.243
49,0.243
50,0.242
51,0.247
52,0.236
53,0.247
54,0.249
55,0.243
56,0.246
57,0.244
58,0.235
59,0.246
60,0.246
61,0.241
62,0.241
63,0.233
64,0.255
65,0.248
66,0.267
67,0.246
68,0.262
69,0.251
70,0.259
71,0.24
72,0.256
73,0.247
74,0.256
75,0.251
76,0.25
77,0.249
78,0.247
79,0.251
80,0.242
81,0.245
82,0.241
83,0.236
84,0.24
85,0.248
86,0.238
87,0.259
88,0.24
89,0.259
90,0.242
91,0.254
92,0.237
93,0.241
94,0.239
95,0.244
96,0.247
97,0.243
98,0.248
99,0.244
100,0.251
101,0.258
102,0.243
103,0.248
104,0.259
105,0.245
106,0.254
107,0.25
108,0.271
109,0.249
110,0.26
111,0.247
112,0.244
113,0.246
114,0.248
115,0.229
116,0.236
117,0.232
118,0.243
119,0.243
120,0.253
121,0.242
122,0.241
123,0.253
124,0.241
125,0.254
126,0.245
127,0.251
128,0.244
129,0.285
130,0.238
131,0.252
132,0.25
133,0.252
134,0.26
135,0.243
136,0.24
137,0.25
138,0.249
139,0.243
140,0.25
141,0.26
142,0.252
143,0.258
144,0.253
145,0.247
146,0.249
147,0.244
148,0.237
149,0.245
150,0.238
151,0.247
152,0.25
153,0.25
154,0.247
155,0.247
156,0.248
157,0.242
158,0.245
159,0.25
160,0.247
161,0.239
162,0.233
163,0.255
164,0.234
165,0.255
166,0.248
167,0.248
168,0.236
169,0.254
170,0.259
171,0.262
172,0.258
173,0.247
174,0.247
175,0.247
176,0.247
177,0.247
178,0.249
179,0.243
180,0.243
181,0.239
182,0.249
183,0.256
184,0.238
185,0.246
186,0.244
187,0.248
188,0.241
189,0.246
190,0.24
191,0.244
192,0.237
193,0.244
194,0.247
195,0.255
196,0.254
197,0.265
198,0.241
199,0.235
200,0.25
201,0.253
202,0.244
203,0.249
204,0.246
205,0.246
206,0.237
207,0.252
208,0.247
209,0.243
210,0.237
211,0.242
212,0.232
213,0.241
214,0.245
215,0.248
216,0.243
217,0.244
218,0.242
219,0.243
220,0.238
221,0.236
222,0.244
223,0.241
224,0.24
225,0.251
226,0.246
227,0.258
228,0.246
229,0.251
230,0.25
231,0.241
232,0.239
233,0.249
234,0.236
235,0.241
236,0.234
237,0.245
238,0.244
239,0.251
240,0.252
241,0.259
242,0.255
243,0.253
244,0.252
245,0.255
246,0.228
247,0.247
248,0.243
249,0.253
250,0.242
251,0.26
252,0.261
253,0.264
254,0.251
255,0.252
256,0.252
257,0.253
258,0.239
259,0.239
260,0.242
261,0.248
262,0.268
263,0.25
264,0.264
265,0.247
266,0.243
267,0.247
268,0.241
269,0.242
270,0.241
271,0.254
272,0.245
273,0.254
274,0.258
275,0.265
276,0.264
277,0.246
278,0.245
279,0.255
280,0.246
281,0.251
282,0.244
283,0.246
284,0.246
285,0.238
286,0.234
287,0.251
288,0.238
289,0.249
290,0.241
291,0.242
292,0.241
293,0.239
294,0.249
295,0.247
296,0.24
297,0.267
298,0.237
299,0.252
300,0.228
301,0.257
302,0.273
303,0.251
304,0.243
305,0.252
306,0.242
307,0.25
308,0.233
309,0.253
310,0.252
311,0.248
312,0.243
313,0.248
314,0.234
315,0.238
316,0.238
317,0.245
318,0.248
319,0.242
320,0.234
321,0.244
322,0.24
323,0.24
324,0.232
325,0.246
326,0.233
