Iteration,Time (s)
1,0.011
2,0.008
3,0.011
4,0.009
5,0.008
6,0.01
7,0.01
8,0.009
9,0.007
10,0.007
11,0.008
12,0.01
13,0.013
14,0.01
15,0.007
16,0.009
17,0.009
18,0.008
19,0.007
20,0.008
21,0.008
22,0.011
23,0.008
24,0.007
25,0.008
26,0.008
27,0.01
28,0.008
29,0.007
30,0.007
31,0.008
32,0.008
33,0.008
34,0.007
35,0.007
36,0.009
37,0.01
38,0.008
39,0.006
40,0.007
41,0.007
42,0.008
43,0.009
44,0.007
45,0.007
46,0.007
47,0.008
48,0.008
49,0.007
50,0.008
51,0.007
52,0.008
53,0.011
54,0.008
55,0.009
56,0.009
57,0.009
58,0.008
59,0.009
60,0.007
61,0.006
62,0.008
63,0.007
64,0.011
65,0.007
66,0.007
67,0.007
68,0.009
69,0.008
70,0.009
71,0.007
72,0.007
73,0.009
74,0.008
75,0.008
76,0.008
77,0.006
78,0.007
79,0.009
80,0.011
81,0.008
82,0.008
83,0.008
84,0.009
85,0.01
86,0.009
87,0.007
88,0.007
89,0.007
90,0.01
91,0.009
92,0.007
93,0.008
94,0.007
95,0.016
96,0.008
97,0.007
98,0.008
99,0.007
100,0.008
101,0.007
102,0.01
103,0.008
104,0.007
105,0.008
106,0.009
107,0.007
108,0.007
109,0.008
110,0.008
111,0.008
112,0.008
113,0.007
114,0.007
115,0.007
116,0.009
117,0.009
118,0.008
119,0.009
120,0.007
121,0.011
122,0.009
123,0.009
124,0.007
125,0.008
126,0.011
127,0.009
128,0.009
129,0.007
130,0.007
131,0.008
132,0.008
133,0.007
134,0.008
135,0.007
136,0.008
137,0.008
138,0.01
139,0.008
140,0.008
141,0.006
142,0.01
143,0.008
144,0.007
145,0.009
146,0.009
147,0.007
148,0.009
149,0.009
150,0.008
151,0.007
152,0.006
153,0.008
154,0.01
155,0.01
156,0.007
157,0.007
158,0.007
159,0.008
160,0.008
161,0.007
162,0.007
163,0.01
164,0.009
165,0.008
166,0.027
167,0.007
168,0.008
169,0.009
170,0.009
171,0.008
172,0.008
173,0.009
174,0.01
175,0.009
176,0.008
177,0.007
178,0.008
179,0.008
180,0.009
181,0.008
182,0.006
183,0.009
184,0.008
185,0.009
186,0.007
187,0.007
188,0.006
189,0.008
190,0.008
191,0.009
192,0.007
193,0.008
194,0.006
195,0.007
